Series #	Season #	Title	Directed by	Written by	Original air date
202	1	"Now What?"	Jonathan Kaplan	John Wells	September25,2003
203	2	"The Lost"	Christopher Chulack	John Wells	October2,2003
204	3	"Dear Abby"	Christopher Chulack	R. Scott Gemmill	October9,2003
205	4	"Shifts Happen"	Julie Hébert	Dee Johnson	October23,2003
206	5	"Out of Africa"	Jonathan Kaplan	David Zabel	October30,2003
207	6	"The Greater Good"	Richard Thorpe	R. Scott Gemmill	November6,2003
208	7	"Death and Taxes"	Félix Enríquez Alcalá	Dee Johnson	November13,2003
209	8	"Freefall"	Christopher Chulack	Joe Sachs	November20,2003
210	9	"Missing"	Jonathan Kaplan	David Zabel	December4,2003
211	10	"Makemba"	Christopher Chulack	John Wells	December11,2003
212	11	"Touch and Go"	Richard Thorpe	Mark Morocco	January8,2004
213	12	"NICU"	Laura Innes	Lisa Zwerling	January15,2004
214	13	"Get Carter"	Lesli Linka Glatter	R. Scott Gemmill	February5,2004
215	14	"Impulse Control"	Jonathan Kaplan	Yahlin Chang	February12,2004
216	15	"Blood Relations"	Nelson McCormick	Dee Johnson	February19,2004
217	16	"Forgive and Forget"	Christopher Chulack	Bruce Miller	February26,2004
218	17	"The Student"	Paul McCrane	David Zabel	April1,2004
219	18	"Where There's Smoke"	Tawnia McKiernan	Jacy Young	April8,2004
220	19	"Just a Touch"	Richard Thorpe	R. Scott Gemmill	April22,2004
221	20	"Abby Normal"	Jonathan Kaplan	David Zabel	April29,2004
222	21	"Midnight"	Julie Hebert	John Wells	May6,2004
