State	Interview	Swimsuit	Evening gown	Average
Alabama	9.00	8.83	8.79	8.87
Alaska	8.01	8.21	8.25	8.16
Arizona	8.09	8.21	7.98	8.09
Arkansas	8.82	8.16	8.16	8.38
California	8.58	7.92	8.82	8.51
Colorado	8.39	9.48	9.15	9.01
Connecticut	8.75	8.64	8.68	8.69
Delaware	8.43	8.05	8.12	8.20
District of Columbia	8.33	8.16	8.20	8.23
Florida	8.50	9.02	8.61	8.71
Georgia	8.21	8.68	8.60	8.50
Hawaii	8.56	9.42	8.57	9.10
Idaho	9.09	8.34	8.55	8.66
Illinois	8.87	8.99	9.09	8.98
Indiana	8.25	8.22	8.44	8.30
Iowa	9.01	8.65	8.02	8.56
Kansas	9.59	9.25	9.28	9.37
Kentucky	8.84	8.91	8.99	8.91
Louisiana	8.89	8.44	8.61	8.65
Maine	8.47	8.32	8.03	8.27
Maryland	8.43	8.70	8.31	8.48
Massachusetts	9.03	9.18	9.18	9.13
Michigan	8.76	7.88	8.64	8.43
Minnesota	8.60	8.59	8.46	8.16
Mississippi	8.61	8.66	8.58	8.61
Missouri	8.96	8.61	9.16	8.91
Montana	8.11	7.84	7.79	7.91
Nebraska	8.91	8.65	8.11	8.56
Nevada	8.98	8.66	8.86	8.83
New Hampshire	9.10	8.96	8.56	8.87
New Jersey	8.69	8.72	8.46	8.62
New Mexico	8.77	8.97	8.60	8.78
New York	8.76	8.25	8.60	8.54
North Carolina	9.33	9.39	8.91	9.21
North Dakota	9.49	8.88	8.82	9.06
Ohio	8.58	8.87	8.52	8.66
Oklahoma	9.04	9.18	8.69	8.97
Oregon	8.61	8.71	8.61	8.64
Pennsylvania	8.15	8.39	8.14	8.23
Rhode Island	8.16	8.33	8.08	8.19
South Carolina	9.12	8.95	8.76	8.94
South Dakota	8.71	7.42	8.19	8.11
Tennessee	9.26	9.49	9.27	9.34
Texas	8.77	9.03	8.93	8.91
Utah	8.90	8.57	8.46	8.64
Vermont	7.97	8.10	8.00	8.02
Virginia	9.25	9.43	8.99	9.22
Washington	8.43	8.93	8.47	8.61
West Virginia	8.50	7.85	8.39	8.25
Wisconsin	8.87	8.45	8.80	8.71
Wyoming	8.31	8.24	7.61	8.05
