Region (year)	No. 1	No. 2	No. 3	No. 4	No. 5	No. 6	No. 7	No. 8	No. 9	No. 10
Alabama (2009)	Emma	Madison	Isabella	Ava	Anna	Addison	Olivia	Chloe	Abigail	Emily
Alaska (2009)	Isabella	Sophia	Olivia	Abigail	Ava	Emma	Madison	Chloe	Emily	Elizabeth
Arizona (2009)	Isabella	Sophia	Emma	Mia	Emily	Olivia	Madison	Abigail	Ava	Samantha
Arkansas (2009)	Emma	Madison	Addison	Isabella	Ava	Alexis	Emily	Abigail	Olivia	Chloe
California (2009)	Isabella	Sophia	Emily	Mia	Samantha	Natalie	Emma	Ashley	Abigail	Olivia
Colorado (2009)	Isabella	Olivia	Sophia	Abigail	Emma	Ava	Emily	Addison	Elizabeth	Madison
Connecticut (2009)	Isabella	Olivia	Sophia	Ava	Emma	Madison	Abigail	Mia	Samantha	Emily
Delaware (2009)	Isabella	Olivia	Sophia	Abigail	Ava	Emma	Madison	Samantha	Emily	Elizabeth
District of Columbia (2009)	Allison	Sophia	Ashley	Katherine	Abigail	Elizabeth	Taylor	Charlotte	Zoe	Anna
Florida (2009)	Isabella	Sophia	Emma	Emily	Olivia	Madison	Ava	Mia	Abigail	Chloe
Georgia (2009)	Madison	Isabella	Emma	Olivia	Ava	Abigail	Emily	Chloe	Elizabeth	Addison
Hawaii (2009)	Isabella	Sophia	Mia	Ava	Chloe	Madison	Olivia	Taylor	Emma	Faith
Idaho (2009)	Olivia	Emma	Isabella	Sophia	Addison	Abigail	Elizabeth	Emily	Ava	Madison
Illinois (2009)	Isabella	Olivia	Sophia	Emma	Emily	Ava	Abigail	Mia	Madison	Ella
Indiana (2009)	Emma	Olivia	Isabella	Ava	Addison	Sophia	Abigail	Madison	Chloe	Lillian
Iowa (2009)	Ava	Olivia	Emma	Isabella	Addison	Ella	Sophia	Chloe	Grace	Natalie
Kansas (2009)	Emma	Isabella	Ava	Olivia	Abigail	Addison	Madison	Sophia	Chloe	Emily
Kentucky (2009)	Emma	Isabella	Madison	Olivia	Abigail	Alexis	Addison	Ava	Chloe	Emily
Louisiana (2009)	Ava	Emma	Isabella	Madison	Olivia	Chloe	Addison	Abigail	Emily	Sophia
Maine (2010)	Emma	Olivia	Isabella	Abigail	Madison	Ava	Lily	Chloe	Sophia	Addison
Maryland (2009)	Madison	Olivia	Ava	Isabella	Emma	Sophia	Abigail	Chloe	Emily	Taylor
Massachusetts (2009)	Olivia	Isabella	Sophia	Ava	Emma	Abigail	Emily	Grace	Madison	Mia
Michigan (2009)	Olivia	Isabella	Ava	Emma	Madison	Sophia	Abigail	Chloe	Addison	Ella
Minnesota (2009)	Olivia	Ava	Emma	Sophia	Isabella	Ella	Grace	Abigail	Addison	Chloe
Mississippi (2009)	Madison	Emma	Addison	Ava	Anna	Isabella	Chloe	Olivia	Makayla	Alyssa
Missouri (2009)	Emma	Olivia	Isabella	Ava	Madison	Sophia	Abigail	Chloe	Addison	Elizabeth
Montana (2009)	Emma	Isabella	Olivia	Ava	Madison	Sophia	Hailey	Addison	Taylor	Chloe
Nebraska (2009)	Addison	Isabella	Ava	Olivia	Emma	Sophia	Ella	Emily	Grace	Alexis
Nevada (2009)	Isabella	Sophia	Emma	Olivia	Emily	Ava	Madison	Mia	Abigail	Samantha
New Hampshire (2009)	Olivia	Isabella	Ava	Emma	Abigail	Alexis	Madison	Sophia	Lily	Emily
New Jersey (2009)	Isabella	Olivia	Sophia	Ava	Emily	Mia	Emma	Madison	Samantha	Abigail
New Mexico (2009)	Isabella	Olivia	Mia	Nevaeh	Sophia	Ava	Emily	Alyssa	Madison	Emma
New York (2009)	Isabella	Sophia	Olivia	Emma	Emily	Madison	Ava	Mia	Abigail	Sarah
North Carolina (2009)	Emma	Madison	Isabella	Ava	Abigail	Olivia	Emily	Addison	Chloe	Sophia
North Dakota (2009)	Olivia	Ava	Emma	Ella	Isabella	Chloe	Taylor	Abigail	Lily	Addison
Ohio (2009)	Isabella	Emma	Olivia	Ava	Madison	Sophia	Addison	Abigail	Chloe	Ella
Oklahoma (2009)	Isabella	Emma	Addison	Madison	Abigail	Chloe	Olivia	Emily	Ava	Alexis
Oregon (2009)	Emma	Isabella	Olivia	Emily	Sophia	Madison	Abigail	Ava	Elizabeth	Chloe
Pennsylvania (2009)	Isabella	Olivia	Ava	Emma	Sophia	Madison	Emily	Abigail	Ella	Grace
Puerto Rico (2009)	Alondra	Mia	Valeria	Kamila	Camila	Amanda	Andrea	Gabriela	Adriana	Alanis
Rhode Island (2009)	Isabella	Olivia	Sophia	Ava	Emma	Abigail	Madison	Mia	Emily	Gabriella
South Carolina (2009)	Emma	Madison	Isabella	Olivia	Abigail	Ava	Elizabeth	Addison	Emily	Chloe
South Dakota (2009)	Emma	Ava	Isabella	Sophia	Alexis	Elizabeth	Addison	Olivia	Madison	Brooklyn
Tennessee (2009)	Emma	Madison	Isabella	Olivia	Abigail	Addison	Ava	Chloe	Emily	Elizabeth
Texas (2009)	Isabella	Emily	Mia	Emma	Sophia	Abigail	Madison	Ava	Natalie	Olivia
Utah (2009)	Olivia	Emma	Abigail	Brooklyn	Lily	Isabella	Elizabeth	Ava	Sophia	Chloe
Vermont (2009)	Emma	Ava	Isabella	Madison	Sophia	Olivia	Abigail	Lily	Addison	Grace
Virginia (2009)	Isabella	Madison	Emma	Olivia	Abigail	Sophia	Ava	Emily	Elizabeth	Chloe
Washington (2009)	Isabella	Olivia	Sophia	Emma	Abigail	Emily	Ava	Elizabeth	Chloe	Madison
West Virginia (2009)	Madison	Isabella	Emma	Alexis	Emily	Olivia	Abigail	Chloe	Ava	Kaylee
Wisconsin (2009)	Olivia	Isabella	Emma	Ava	Sophia	Addison	Ella	Abigail	Elizabeth	Grace
Wyoming (2008)	Isabella	Madison	Ava	Emma	Alexis	Elizabeth	Addison	Olivia	Abigail	Taylor
