Draw	Artist	Song	Composer - Lyricist	Points	Place
1	West Side Family	"Jehonë"	Dr. Flori, Klodian Qafoku	118	3
2	Soni Malaj	"Zona zero"	Florian Mumajesi	44	16
3	Juliana Pasha & Luiz Ejlli	"Nje jetë"	Shpetim Saraçi, Turian Hyskaj	119	2
4	Kujtim Prodani	"Nostalgji"	Kujtim Prodani, Agim Doci	24	18
5	Emi Bogdo	"Kur buzet henen e kafshojn"	Emi Bogdo, Klodian Qafoku	43	17
6	Erga Halilaj	"Dikush mungon"	Kristi Popa, Florion Zyko	63	11
7	Marjeta Billo	"Era e tokës"	Adrian Hila, Pandi Laço	106	5
8	Adelina Thaci	"Oret e fundit"	Alfred Kacinari	91	8
9	Rovena Dilo & Eugent Bushpepa	"S'jam balade"	Armend Rexhepagiqi, Aida Baraku	60	12
10	Dorina Garuci	"Dite një jetë"	Dorian Nini, Pandi Laço	92	7
11	Endri & Stefi Prifti	"Ti bere faj"	Josif Minga, Skender Rusi	91	8
12	Kejsi Tola	"Më merr në ëndërr"	Edmond Zhulali, Agim Doçi	126	1
13	Era Rusi	"Shpirt i humbur"	Arsen Nasi & Bledar Skenderi, Irma Libohova	50	15
14	Julian Lekoçaj	"Nuk je ti"	Julian Lekoçaj	17	20
15	Shpat Kasapi	"Aromë mediterane"	Gent Myftarai, Pandi Laço	22	19
16	Evis Mula	"Unë jam dashuria"	Luan Zhegu, Agim Doçi	91	8
17	Burn	"Jam i pari i jettes sime"	Stivart Cela & Renis Gjoka, Big Basta	96	6
18	Vedat Ademi	"Po me prite ti"	Kledi Bahiti, Alban Male	51	14
19	Agim Poshka	"Fajtor për ngrohjen globale"	Agim Poshka, Olsen Maze	56	13
20	Besa Kokedhima	"Ajer"	Alban Male, Olti Curri	109	4
