Pick	Player	Position	Nationality	NHL team	College/junior/club team
209	Toby Kvalevog	Goaltender	United States	Ottawa Senators	Bemidji High School (HS-Minnesota)
210	Jonas Forsberg	Goaltender	Sweden	San Jose Sharks	Djurgardens IF Stockholm (Sweden)
211	Alexandre LaPorte	Defence	Canada	Tampa Bay Lightning	Victoriaville Tigers (QMJHL)
212	Vitali Kozel	Left Wing	Belarus	Mighty Ducks of Anaheim	Novops (Russia)
213	Chad Cabana	Left Wing	Canada	Florida Panthers	Tri-City Americans (WHL)
214	Dmitri Gorenko	Forward	Russia	Hartford Whalers	CSKA Moscow (Russia)
215	Brad Norton	Defence	United States	Edmonton Oilers	Cushing Academy (HS-Massachusetts)
216	Ken Shepard	Goaltender	Canada	New York Rangers	Oshawa Generals (OHL)
217	Vladimir Potapov	Left Wing	Russia	Winnipeg Jets	Kristall Elektostal (Russia)
218	Tripp Tracy	Goaltender	United States	Philadelphia Flyers	Harvard University (NCAA)
219	Mike Grier	Right Wing	United States	St. Louis Blues	St. Sebastian's School (HS-Massachusetts)
220	Barrie Moore	Left Wing	Canada	Buffalo Sabres	Sudbury Wolves (OHL)
221	Judd Lambert	Goaltender	Canada	New Jersey Devils	Chilliwack Chiefs (BCJHL)
222	Daniel Johansson	Defence	Sweden	New York Islanders	Rögle Angelholm (Sweden)
223	Ilya Stashenkov	Defence	Russia	Winnipeg Jets	Krylja Sovetov (Russia)
224	Martin Strbak	Defence	Slovakia	Los Angeles Kings	Prešov VTJ HK (Slovakia)
225	Jason Gladney	Defence	Canada	Washington Capitals	Kitchener Rangers (OHL)
226	E. J. Bradley	Centre	United States	Philadelphia Flyers	Tabor Academy (HS-Massachusetts)
227	Pavol Demitra	Centre	Slovakia	Ottawa Senators	Dukla Trenčín (Slovakia)
228	Harijs Vitolinsh	Centre	Latvia	Winnipeg Jets	EHC Chur (Switzerland)
229	Alex Duschesne	Forward	Canada	Montreal Canadiens	Drummondville Voltigeurs (QMJHL)
230	Ryan Shanahan	Right Wing	United States	Detroit Red Wings	Sudbury Wolves (OHL)
231	Vincent Auger	Forward	Canada	Quebec Nordiques	Hawkesbury Hawks ( CJHL )
232	Mike Rusk	Defence	Canada	Chicago Blackhawks	Guelph Storm (OHL)
233	Joel Prpic	Centre	Canada	Boston Bruins	Waterloo Black Hawks (USHL)
234	Tim Harberts	Centre	United States	Pittsburgh Penguins	Wayzata High School (HS-Minnesota)
