Round	Player	Position	Nationality	College/Junior/Club Team (League)
1	Joshua Bailey	C	Canada	Windsor Spitfires (OHL)
2	Corey Trevino	C	Canada	Stouffville Spirit (OPJHL)
2	Aaron Ness	D	United States	Roseau High School (HIGH-MN)
2	Travis Hamonic	D	Canada	Moose Jaw Warriors (WHL)
3	David Toews	C	Canada	Shattuck-St. Mary's (Midget Major AAA)
3	Jyri Niemi	D	Finland	Saskatoon Blades (WHL)
3	Kirill Petrov	RW	Russia	Kazan (Russia)
4	Matt Donovan	D	United States	Cedar Rapids (USHL)
4	David Ullstrom	W	Sweden	HV71 (SWE-JR.)
5	Kevin Poulin	G	Canada	Victoriaville Tigres (QMJHL)
5	Matthew Martin	LW	Canada	Sarnia Sting (OHL)
6	Jared Spurgeon	D	Canada	Spokane Chiefs (WHL)
6	Justin DiBenedetto	C	Canada	Sarnia Sting (OHL)
