Triple	Game	Date	Inning	Location	Opposing Pitcher	Team
1	2	04-13-1912	2nd	St. Louis	Bill Steele	Cardinals
2	6	04-18-1912	9th	Pittsburgh	Slim Sallee	Cardinals
3	9	04-23-1912	6th	Chicago	Mordecai Browns	Cubs
4	11	04-27-1912	1st	Pittsburgh	Art Fromme	Reds
5	11	04-27-1912	8th	Pittsburgh	Hanson Horsey	Reds
6	15	05-03-1912	3rd	Pittsburgh	Larry Cheney	Cubs
7	16	05-04-1912	4th	Pittsburgh	Ed Reulbach	Cubs
8	25	05-21-1912	7th	Pittsburgh	Bill McTigue	Braves
9	29	05-25-1912	4th	Pittsburgh	Jimmy Lavender	Cubs
10	29	05-25-1912	6th	Pittsburgh	Jimmy Lavender	Cubs
11	29	05-30-1912	3rd	Pittsburgh	Slim Sallee	Cardinals
12	48	06-17-1912	8th	New York	Rube Marquard	Giants
13	49	06-18-1912	9th	New York	Doc Crandall	Giants
14	50	06-19-1912	4th	Pittsburgh	Joe Willis	Cardinals
15	51	06-20-1912	2nd	Cincinnati	Bobby Keefe	Reds
16	51	06-20-1912	10th	Cincinnati	Harry Gaspar	Reds
17	52	06-20-1912	6th	Cincinnati	Art Fromme	Reds
18	64	07-02-1912	8th	Pittsburgh	Larry Cheeney	Cubs
19	65	07-04-1912	4th	Pittsburgh	Ben Taylor	Reds
20	70	07-08-1912	8th	Pittsburgh	Toots Schultz	Phillies
21	77	07-16-1912	4th	Pittsburgh	Earl Yingling	Dodgers
22	78	07-17-1912	9th	Pittsburgh	Christy Mathewson	Giants
23	79	07-19-1912	3rd	Pittsburgh	Rube Marquard	Giants
24	82	07-22-1912	3rd	Pittsburgh	Buster Brown	Braves
25	84	07-25-1912	1st	Pittsburgh	Eddie Stack	Dodgers
26	85	07-26-1912	1st	Philadelphia	Earl Moore	Phillies
27	99	08-10-1912	6th	Brooklyn	Cliff Curtis	Dodgers
28	106	08-16-1912	7th	Pittsburgh	Grover Alexander	Phillies
29	114	08-23-1912	9th	Pittsburgh	Jeff Tesreau	Giants
30	116	08-26-1912	6th	Pittsburgh	Otto Hess	Braves
31	117	08-26-1912	6th	Pittsburgh	Ed Donnelly	Braves
32	117	08-26-1912	8th	Pittsburgh	Ed Donnelly	Braves
33	118	08-27-1912	4th	Pittsburgh	Walt Dickson	Braves
34	129	09-07-1912	6th	St.Louis	Pol Perritt	Cardinals
35	148	09-29-1912	8th	Chicago	Ed Reulbach	Cubs
36	152	10-06-1912	9th	Cincinnati	Frank Gregory	Reds
