Windows	Mac OS X	Linux	Other Unix	AmigaOS	Android	Windows Mobile
Yes [1 ]	Yes [2 ]	Yes [2 ]	Command-line interface [2 ]	Command-line interface [4 ]	No	Yes
Yes	No	No	No	No	No	No
No	Yes	No	No	No	No	No
Unknown	Unknown	Yes	Yes	Unknown	Unknown	Unknown
No	Yes	No	No	No	Unknown	No
Yes [1 ]	No	No	No	No	No	Unknown
Yes	Yes	Yes	Yes	Partial	Unknown	Unknown
Yes	Yes	Yes	Yes	No	Unknown	Unknown
No	No	Yes	Yes	Unknown	Unknown	Unknown
Yes	No	No	No	No	Unknown	Unknown
Yes	Unknown	Yes	Yes	Unknown	Unknown	Unknown
Yes	Yes	Yes	Yes	Yes	Unknown	Unknown
No	Yes	No	No	No	Unknown	Unknown
Yes	Yes	Yes	Yes	Yes	Unknown	Yes [8 ]
Yes	No	No	No	No	Unknown	No
Yes [7 ]	Command-line interface	Yes	No	No	Unknown	Unknown
Yes [1 ]	Under Development	Yes	No	No	Unknown	Unknown
Yes	No	Yes	Yes	Yes	Unknown	Unknown
Yes	Command-line interface	No	No	No	Unknown	Unknown
Yes	Yes	Yes	Yes	Yes	Yes	Unknown
Yes	Yes	X86 only, older version (5.2.0?)	older version (5.2.0?)	No	Unknown	Unknown
Command-line interface	Yes	Command-line interface	No	No	Unknown	No
Yes	No	No	No	No	Unknown	Unknown
Yes	Command-line interface expander only [5 ]	X86 , Command-line interface expander only [5 ]	No	Command-line interface expander only	Unknown	Unknown
Yes [1 ]	Command-line interface [6 ]	X86 and x86-64 , Command-line interface [6 ]	Command-line interface [6 ]	Command-line interface expander only	Unknown	Yes
Yes [1 ]	Yes	No	No	Yes	Yes	Unknown
No	No	Yes	Yes	Yes	Unknown	Unknown
No	No	Yes	Unknown	Unknown	Unknown	Unknown
Windows	Mac OS X	Linux	Unix	AmigaOS	Android	Windows Mobile
