Race	Circuit	Date	Pole position	Fastest lap	Winning driver	Constructor	Tyre	Report
Argentine Grand Prix	Buenos Aires	23 January	Carlos Reutemann	Jackie Stewart	Jackie Stewart	Tyrrell - Ford	G	Report
South African Grand Prix	Kyalami	4 March	Jackie Stewart	Mike Hailwood	Denny Hulme	McLaren - Ford	G	Report
Spanish Grand Prix	Jarama	1 May	Jacky Ickx	Jacky Ickx	Emerson Fittipaldi	Lotus - Ford	F	Report
Monaco Grand Prix	Monte Carlo	14 May	Emerson Fittipaldi	Jean-Pierre Beltoise	Jean-Pierre Beltoise	BRM	F	Report
Belgian Grand Prix	Nivelles-Baulers	4 June	Emerson Fittipaldi	Chris Amon	Emerson Fittipaldi	Lotus - Ford	F	Report
French Grand Prix	Charade Circuit	2 July	Chris Amon	Chris Amon	Jackie Stewart	Tyrrell - Ford	G	Report
British Grand Prix	Brands Hatch	15 July	Jacky Ickx	Jackie Stewart	Emerson Fittipaldi	Lotus - Ford	F	Report
German Grand Prix	Nürburgring	30 July	Jacky Ickx	Jacky Ickx	Jacky Ickx	Ferrari	F	Report
Austrian Grand Prix	Österreichring	13 August	Emerson Fittipaldi	Denny Hulme	Emerson Fittipaldi	Lotus - Ford	F	Report
Italian Grand Prix	Monza	10 September	Jacky Ickx	Jacky Ickx	Emerson Fittipaldi	Lotus - Ford	F	Report
Canadian Grand Prix	Mosport Park	24 September	Peter Revson	Jackie Stewart	Jackie Stewart	Tyrrell - Ford	G	Report
United States Grand Prix	Watkins Glen	8 October	Jackie Stewart	Jackie Stewart	Jackie Stewart	Tyrrell - Ford	G	Report
