Date	Opponent	Score	Loss	Attendance	Record
September 1	@ Atlanta Braves	7-8 (10)	Ayala (8-7)	19,053	69-65
September 2	Philadelphia Phillies	1-7	Halama (1-3)	28,939	69-66
September 3	Philadelphia Phillies	5-4 (12)	López (0-1)	30,561	70-66
September 4	Philadelphia Phillies	6-1	Floyd (1-2)	32,251	71-66
September 5	Florida Marlins	5-2	Vargas (5-3)	32,150	72-66
September 6	Florida Marlins	2-4	Rasner (0-1)	24.936	72-67
September 7	Florida Marlins	1-12	Halama (1-4)	25,702	72-68
September 8	Florida Marlins	4-8	Patterson (8-5)	27,625	72-69
September 9	Atlanta Braves	8-6	Foster (4-2)	36,295	73-69
September 10	Atlanta Braves	0-4	Hernández (15-7)	44,083	73-70
September 11	Atlanta Braves	7-9	Cordero (2-4)	31,384	73-71
September 13	@ New York Mets	4-2	Glavine (10-13)	34,143	74-71
September 14	@ New York Mets	6-3	Benson (9-8)	24,049	75-71
September 15	@ New York Mets	6-5 (10)	Hernández (6-6)	21,441	76-71
September 16	@ San Diego Padres	5-1	Peavy (12-7)	38,480	77-71
September 17	@ San Diego Padres	5-8 (12)	Rauch (1-4)	37,707	77-72
September 18	@ San Diego Padres	1-2	Eischen (2-1)	38,054	77-73
September 20	San Francisco Giants	3-4	Hernández (15-8)	32,403	77-74
September 21	San Francisco Giants	1-5	Patterson (9-6)	32,076	77-75
September 22	San Francisco Giants	2-0	Tomko (7-15)	29,807	78-75
September 23	New York Mets	2-5 (10)	Majewski (4-4)	30,194	78-76
September 24	New York Mets	2-5	Hernández (15-9)	32,467	78-77
September 25	New York Mets	5-6	Hughes (1-1)	29,967	78-78
September 26	@ Florida Marlins	4-0	Vargas (5-5)	11,467	79-78
September 27	@ Florida Marlins	11-1	Willis (22-10)	11,507	80-78
September 28	@ Florida Marlins	11-7	Moehler (6-12)	11,961	81-78
September 30	Philadelphia Phillies	3-4	Hernández (15-10)	30,375	81-79
