Place (Posición)	Team (Equipo)	Played (PJ)	Won (PG)	Draw (PE)	Lost (PP)	Goals Scored (GF)	Goals Conceded (GC)	+/- (Dif.)	Points (Pts.)
1.	San Francisco F.C.	18	11	4	3	27	16	+11	37
2.	Arabe Unido	18	9	5	4	42	27	+15	32
3.	Tauro F.C.	18	8	7	3	38	23	+15	31
4.	Municipal Chorrillo	18	8	3	7	24	21	+3	27
5.	Atlético Chiriquí	18	6	8	4	21	20	-1	26
6.	Alianza F.C.	18	7	3	8	19	20	-1	24
7.	Chepo F.C.	18	6	5	7	23	21	+2	23
8.	Sporting San Miguelito	18	4	6	8	19	24	-5	18
9.	Plaza Amador	18	4	5	9	24	30	-6	17
10.	Atlético Veragüense	18	3	2	13	10	43	-33	11
