Player	W-L (Total)	W-L (Singles)	W-L (Doubles)	Ties	Debut	Years Played
Jaklin Alawi	0–2	0–0	0–2	2	2007	1
Galia Angelova	6–5	3–2	3–3	8	1988	2
Lubomira Bacheva	1–6	0–4	1–2	4	1993	4
Yulia Berberian	0–4	0–0	0–4	4	1968	3
Maria Chakarova	3–4	2–2	1–2	4	1966	3
Galina Dimitrova	0–2	0–2	0–0	2	1997	1
Dora Djilianova	0–1	0–0	0–1	1	1995	1
Dia Evtimova	14–12	7–10	7–2	21	2007	6
Filipa Gabrovska	2–4	0–0	2–4	6	1998	3
Maria Geznenge	5–2	0–0	5–2	7	1999	4
Sesil Karatantcheva	8–5	6–2	2–3	8	2004	2
Marina Kondova	1–1	0–0	1–1	2	1983	1
Elitsa Kostova	8–9	5–6	3–3	13	2008	6
Dimana Krastevitch	1–4	1–2	0–2	3	2006	1
Svetlana Krivencheva	2–4	0–2	2–2	6	1988	4
Katerina Maleeva	29–22	20–9	9–13	28	1984	10
Magdalena Maleeva	27–17	18–8	9–9	28	1991	10
Manuela Maleeva	22–12	16–4	6–8	20	1983	6
Dessislava Mladenova	1–2	0–0	1–2	3	2007	1
Diana Moskova	0–1	0–0	0–1	1	1975	1
Teodora Nedeva	0–3	0–0	0–3	3	1996	2
Pavlina Nola	5–7	4–4	1–3	7	1995	3
Elena Pampoulova	8–8	5–6	3–2	12	1988	5
Antoaneta Pandjerova	8–13	3–8	5–5	14	1996	5
Biljana Pawlowa-Dimitrova	1–1	0–1	1–0	1	2010	1
Maria Penkova	3–6	1–0	2–6	8	2004	3
Tsvetana Pironkova	26–25	19–15	7–10	34	2003	11
Lubka Radkova	1–9	0–5	1–4	5	1966	4
Dora Rangelova	4–7	1–2	3–5	8	1986	3
Isabella Shinikova	3–1	0–1	3–0	4	2012	2
Christina Sotirova	0–1	0–1	0–0	1	1975	1
Desislava Topalova	18–16	14–7	4–9	23	1997	8
Radoslava Topalova	1–2	0–0	1–2	3	2001	2
Adriana Velcheva	1–4	1–2	0–2	3	1983	1
