Date	Venue	Score [A ]	Competition	Att.
8 April 2000	Fiji (N)	2 – 4	Melanesia Cup 2000	—
10 April 2000	Fiji (N)	2 – 1	Melanesia Cup 2000	—
13 April 2000	Fiji (N)	4 – 2	Melanesia Cup 2000	—
15 April 2000	Fiji (A)	2 – 2	Melanesia Cup 2000	—
21 June 2000	Tahiti (N)	5 – 1	2000 OFC Nations Cup	—
23 June 2000	Tahiti (N)	0 – 6	2000 OFC Nations Cup	—
25 June 2000	Tahiti (N)	0 – 2	2000 OFC Nations Cup	—
28 June 2000	Tahiti (N)	2 – 1	2000 OFC Nations Cup	—
4 June 2001	New Zealand (N)	9 – 1	2002 FIFA World Cup qualification	—
8 June 2001	New Zealand (N)	7 – 2	2002 FIFA World Cup qualification	—
11 June 2001	New Zealand (A)	1 – 5	2002 FIFA World Cup qualification	—
13 June 2001	New Zealand (N)	0 – 2	2002 FIFA World Cup qualification	—
5 July 2002	New Zealand (N)	0 – 0	2002 OFC Nations Cup	—
7 July 2002	New Zealand (N)	2 – 3	2002 OFC Nations Cup	—
9 July 2002	New Zealand (A)	1 – 6	2002 OFC Nations Cup	—
14 June 2003	Papua New Guinea (A)	5 – 3	Friendly	—
1 July 2003	Fiji (N)	2 – 2	2003 South Pacific Games	—
3 July 2003	Fiji (N)	7 – 0	2003 South Pacific Games	—
5 July 2003	Fiji (N)	4 – 0	2003 South Pacific Games	—
7 July 2003	Fiji (A)	1 – 2	2003 South Pacific Games	—
3 April 2004	Vanuatu (A)	2 – 1	Friendly	—
6 April 2004	Vanuatu (A)	2 – 1	Friendly	—
10 May 2004	Solomon Islands (H)	6 – 0	2004 OFC Nations Cup	—
12 May 2004	Solomon Islands (H)	5 – 0	2004 OFC Nations Cup	—
15 May 2004	Solomon Islands (H)	2 – 0	2004 OFC Nations Cup	—
19 May 2004	Solomon Islands (H)	1 – 1	2004 OFC Nations Cup	—
29 May 2004	Australia (N)	1 – 0	2004 OFC Nations Cup	—
31 May 2004	Australia (N)	0 – 3	2004 OFC Nations Cup	—
2 June 2004	Australia (N)	4 – 0	2004 OFC Nations Cup	—
4 June 2004	Australia (N)	2 – 1	2004 OFC Nations Cup	—
6 June 2004	Australia (A)	2 – 2	2004 OFC Nations Cup	—
9 October 2004	Solomon Islands (H)	1 – 5	2004 OFC Nations Cup	—
12 October 2004	Australia (A)	0 – 6	2004 OFC Nations Cup	—
3 September 2005	Australia (A)	0 – 7	2006 FIFA World Cup qualification	—
6 September 2005	Solomon Islands (H)	1 – 2	2006 FIFA World Cup qualification	—
13 July 2007	Solomon Islands (H)	2 – 1	Friendly	—
25 August 2007	Samoa (N)	12 – 1	2007 South Pacific Games	—
27 August 2007	Samoa (N)	4 – 0	2007 South Pacific Games	—
1 September 2007	Samoa (N)	2 – 0	2007 South Pacific Games	—
3 September 2007	Samoa (A)	3 – 0	2007 South Pacific Games	—
5 September 2007	Samoa (N)	2 – 3	2007 South Pacific Games	—
7 September 2007	Samoa (N)	0 – 2	2007 South Pacific Games	—
7 July 2011	Solomon Islands (H)	2 – 1	Friendly	—
9 July 2011	Solomon Islands (H)	0 – 0	Friendly	—
27 July 2011	Vanuatu (A)	0 – 0	Friendly	—
30 July 2011	Vanuatu (A)	0 – 2	Friendly	—
27 August 2011	New Caledonia (N)	7 – 0	2011 Pacific Games	—
30 August 2011	New Caledonia (N)	4 – 0	2011 Pacific Games	—
1 September 2011	New Caledonia (N)	0 – 1	2011 Pacific Games	—
3 September 2011	New Caledonia (N)	6 – 1	2011 Pacific Games	—
5 September 2011	New Caledonia (A)	2 – 1	2011 Pacific Games	—
7 September 2011	New Caledonia (N)	2 – 1 (aet)	2011 Pacific Games	—
9 September 2011	New Caledonia (A)	0 – 2	2011 Pacific Games	—
2 June 2012	Solomon Islands (H)	1 – 0	2012 OFC Nations Cup	15000
4 June 2012	Solomon Islands (H)	0 – 0	2012 OFC Nations Cup	12000
6 June 2012	Solomon Islands (H)	1 – 1	2012 OFC Nations Cup	15000
8 June 2012	Solomon Islands (H)	0 – 1	2012 OFC Nations Cup	15000
10 June 2012	Solomon Islands (H)	3 – 4	2012 OFC Nations Cup	7000
7 September 2012	Solomon Islands (H)	2 – 0	2014 FIFA World Cup qualification	22000
11 September 2012	New Zealand (A)	1 – 6	2014 FIFA World Cup qualification	—
