Rank	Country	Jerseys	Vuelta Wins	Points	Combo'	Different holders
1	Spain	631	31	15	12	85
2	France	155	9	5	2	24
3	Belgium	140	7	13	2	26
4	Italy	100	5	4	1	18
5	Switzerland	89	5	2	1	5
6	Germany	50	4	7	0	7
7	Netherlands	45	2	5	0	10
8	Russia	30	2	0	2	3
9	United Kingdom	26	0	1	0	6
10	Colombia	23	1	0	1	4
11	Ireland	17	1	4	2	3
12	United States	12	1	0	1	3
13=	Portugal	5	0	0	0	1
13=	Kazakhstan	5	1	0	1	1
13=	Australia	5	0	0	0	2
13=	Denmark	5	0	0	0	2
17=	Norway	3	0	1	0	1
17=	Slovenia	3	0	0	0	1
18	Luxembourg	2	0	0	0	1
19	Uzbekistan	0	0	1	0	0
