Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
58	March 1	@ New Orleans	W 106–92 (OT)	George Hill (23)	Tim Duncan (9)	Manu Ginobili (8)	New Orleans Arena 13,655	34-24
59	March 5	New Orleans	W 102–91 (OT)	Tony Parker (20)	DeJuan Blair (12)	Tony Parker (6)	AT&T Center 18,581	35-24
60	March 6	@ Memphis	W 102–92 (OT)	Richard Jefferson (18)	Richard Jefferson (6)	Manu Ginobili (6)	FedEx Forum 15,928	36-24
61	March 8	@ Cleveland	L 95–97 (OT)	Manu Ginobili (38)	Richard Jefferson (9)	Manu Ginobili , Tim Duncan (5)	Quicken Loans Arena 20,562	36-25
62	March 10	New York	W 97–87 (OT)	Manu Ginobili (28)	Antonio McDyess (12)	Manu Ginobili (5)	AT&T Center 18,278	37-25
63	March 12	@ Minnesota	W 103–85 (OT)	Richard Jefferson , George Hill (19)	Richard Jefferson (9)	George Hill (8)	Target Center 17,009	38-25
64	March 13	Los Angeles Clippers	W 118–88 (OT)	Matt Bonner (21)	Richard Jefferson (9)	George Hill (11)	AT&T Center 18,581	39-25
65	March 16	@ Miami	W 88–76 (OT)	Manu Ginobili (22)	Tim Duncan (11)	George Hill , Antonio McDyess (4)	American Airlines Arena 18,925	40-25
66	March 17	@ Orlando	L 84–110 (OT)	Richard Jefferson (20)	Antonio McDyess (7)	George Hill (4)	Amway Arena 17,461	40-26
67	March 19	Golden State	W 147–116 (OT)	Manu Ginobili (23)	DeJuan Blair (9)	Manu Ginobili (11)	AT&T Center 18,581	41-26
68	March 21	@ Atlanta	L 114–119 (OT) ( OT )	Manu Ginobili (38)	Tim Duncan (13)	Manu Ginobili (6)	Philips Arena 18,729	41-27
69	March 22	@ Oklahoma City	W 99–96 (OT)	George Hill (27)	Tim Duncan , Antonio McDyess (7)	Tim Duncan , Manu Ginobili (5)	Ford Center 18,203	42-27
70	March 24	Los Angeles Lakers	L 83–92 (OT)	Manu Ginobili (24)	Tim Duncan (12)	Tim Duncan (6)	AT&T Center 18,581	42-28
71	March 26	Cleveland	W 102–97 (OT)	Manu Ginobili (30)	George Hill (9)	George Hill , Manu Ginobili (6)	AT&T Center 18,581	43-28
72	March 28	@ Boston	W 94–73 (OT)	Manu Ginobili (28)	Richard Jefferson , DeJuan Blair (11)	Manu Ginobili (7)	TD Garden 18,624	44-28
73	March 29	@ New Jersey	L 84–90 (OT)	George Hill (19)	Tim Duncan (12)	Richard Jefferson (5)	IZOD Center 13,053	44-29
