Outcome	Year	Championship	Surface	Opponent	Score
Winner	1999	US Open	Hard	Martina Hingis	6–3, 7–6 (7–4)
Runner-up	2001	US Open	Hard	Venus Williams	2–6, 4–6
Winner	2002	French Open	Clay	Venus Williams	7–5, 6–3
Winner	2002	Wimbledon	Grass	Venus Williams	7–6 (7–4) , 6–3
Winner	2002	US Open (2)	Hard	Venus Williams	6–4, 6–3
Winner	2003	Australian Open	Hard	Venus Williams	7–6 (7–4) , 3–6, 6–4
Winner	2003	Wimbledon (2)	Grass	Venus Williams	4–6, 6–4, 6–2
Runner-up	2004	Wimbledon	Grass	Maria Sharapova	1–6, 4–6
Winner	2005	Australian Open (2)	Hard	Lindsay Davenport	2–6, 6–3, 6–0
Winner	2007	Australian Open (3)	Hard	Maria Sharapova	6–1, 6–2
Runner-up	2008	Wimbledon (2)	Grass	Venus Williams	5–7, 4–6
Winner	2008	US Open (3)	Hard	Jelena Janković	6–4, 7–5
Winner	2009	Australian Open (4)	Hard	Dinara Safina	6–0, 6–3
Winner	2009	Wimbledon (3)	Grass	Venus Williams	7–6 (7–3) , 6–2
Winner	2010	Australian Open (5)	Hard	Justine Henin	6–4, 3–6, 6–2
Winner	2010	Wimbledon (4)	Grass	Vera Zvonareva	6–3, 6–2
Runner-up	2011	US Open (2)	Hard	Samantha Stosur	2–6, 3–6
Winner	2012	Wimbledon (5)	Grass	Agnieszka Radwańska	6–1, 5–7, 6–2
Winner	2012	US Open (4)	Hard	Victoria Azarenka	6–2, 2–6, 7–5
Winner	2013	French Open (2)	Clay	Maria Sharapova	6–4, 6–4
Winner	2013	US Open (5)	Hard	Victoria Azarenka	7–5, 6–7 (6–8) , 6–1
