Date	Location	Country	Event	Winner	Runner-up
February 23-March 5	Gold Coast	Australia	Quiksilver Pro	Kelly Slater ( USA )	Mick Fanning ( AUS )
March 18-March 29	Bells Beach	Australia	Rip Curl Pro	Kelly Slater ( USA )	Bede Durbidge ( AUS )
May 8-May 18	Teahupoo , Tahiti	French Polynesia	Billabong Pro Teahupoo	Bruno Santos ( BRA )	Manoa Drollet ( PYF )
May 24-June 6	Tavarua	Fiji	Globe Pro	Kelly Slater ( USA )	C.J. Hobgood ( USA )
July 9-July 20	Jeffreys Bay	South Africa	Billabong Pro	Kelly Slater ( USA )	Mick Fanning ( USA )
July 30-August 10	Bali	Indonesia	Rip Curl Pro Search	Bruce Irons ( HAW )	Frederick Patacchia ( HAW )
September 7-September 13	Trestles	United States	Boost Mobile Surf Show Presented By Hurley	Kelly Slater ( USA )	Taj Burrow ( AUS )
September 19-September 28	Hossegor	France	Quiksilver Pro France	Adrian Buchan ( AUS )	Kelly Slater ( USA )
September 29-October 12	Mundaka	Spain	Billabong Pro	C.J. Hobgood ( USA )	Joel Parkinson ( AUS )
October 28-November 5	Santa Catarina	Brazil	Hang Loose Santa Catarina Pro	Bede Durbidge ( AUS )	Jeremy Flores ( FRA )
December 8-December 20	Pipeline , Hawaii	United States	Billabong Pipeline Masters	Kelly Slater ( USA )	Chris Ward ( USA )
