Week 1	Week 2	Week 3	Week 4	Week 5
Mackenzie Ryan	Kelli Peters	Meagan Radelat	Kimberly Holland *	[Month Ended]
Rochelle Loewen*	Rebecca Roozrokh	Andrea Marin	J'Tia Taylor	[Month Ended]
Jenny Gable	Claudia Costa	Crystal Lee	Meagan Rose Campbell	Natalie Taylor*
Carrie Ann Beckett	Amy Sue Cooper **	Amanda Renae	Summer Ehly	[Month Ended]
Masha Christensen	Tiffany Logan	Cynthia Lea	Hollie Winnard*	Elizabeth Primeaux
Mandy Ashford	Tiffani Hollowell	Jessica Kramer	Danielle Gamba *	[Month Ended]
Sheila Levell	Tanya Sue	Paula LaRocca*	Araya Robinson	[Month Ended]
Marie Thompson	Misty Dawn	Amy Robinson	Alexis Tyler	Kate Marie*
Brandy Canada	Christina Carson	Vivian Le Brock	Amy McCarthy *	[Month Ended]
Julia Marie	Jeniffer Silva	Brenda Jones	Carrie Minter*	[Month Ended]
Yumi Lee	Nicole Kelley*	Trista Ashley	Christina Linehan	Alex Chanler
Tonya Cooley	Vicki, Sarah & Rachel Satterfield	Simone Linsell	Yen Hoang*	[Month Ended]
