Player	Nationality	Position	Years for Grizzlies	School/Club Team
Zach Randolph	United States	Power forward	2009–present	Michigan State
Willie Reed	United States	Forward-center	2012–present	St. Louis
Bryant Reeves	United States	Center	1995-2001	Oklahoma State
Rodrick Rhodes	United States	Guard-Forward	1998-1999	USC
Jeremy Richardson	United States	Shooting guard	2007-2008	Delta State
Anthony Roberson	United States	Shooting guard	2005-2006	Florida
Lawrence Roberts	United States	Power forward	2005-2007	Mississippi State
Chris Robinson	United States	Shooting guard	1996-1998	Western Kentucky
Larry Robinson	United States	Guard-Forward	1997-1998	Centenary
Roy Rogers	United States	Power forward	1996-1997	Alabama
