Year	English title	Original title	Country	Director(s)
1990	The Nasty Girl	Das Schreckliche Mädchen	Germany	Michael Verhoeven
1991	Europa Europe	Europa Europa	Germany	Agnieszka Holland
1992	Raise the Red Lantern	Da hong deng long gao gao gua	China/Hong Kong/Taiwan	Zhang Yimou
1993	Farewell My Concubine	Ba wang bie ji	Hong Kong	Chen Kaige
1994	Three Colours: Red	Trois couleurs: Rouge	France/Poland/Switzerland	Krzysztof Kieslowski
1995	Wild Reeds	Les roseaux sauvages	France	André Téchiné
1996	The White Balloon	Badkonake sefid	Iran	Jafar Panahi
1997	Ponette	Ponette	France	Jacques Doillon
1998	The Celebration	Festen	Denmark	Thomas Vinterberg
1999	All About My Mother	Todo sobre mi madre	Spain	Pedro Almodóvar
