District	Incumbent	Party	First elected	Results	Candidates
Michigan 1	Bart Stupak	Democratic	1992	Re-elected	Bart Stupak (D) 59% Chuck Yob (R) 41%
Michigan 2	Pete Hoekstra	Republican	1992	Re-elected	Pete Hoekstra (R) 65% Bob Shrauger (D) 34%
Michigan 3	Vern Ehlers	Republican	1993	Re-elected	Vern Ehlers (R) 65% Timothy Steele (D) 34%
Michigan 5	James Barcia	Democratic	1992	Re-elected	James Barcia (D) 75% Ronald Actis (R) 24%
Michigan 6	Fred Upton	Republican	1986	Re-elected	Fred Upton (R) 68% James Bupp (D) 30%
Michigan 7	Nick Smith	Republican	1992	Re-elected	Nick Smith (R) 62% Jennie Crittendon (D) 36%
Michigan 9	Dale Kildee	Democratic	1976	Re-elected	Dale Kildee (D) 62% Grant Garrett (R) 36%
Michigan 10	David Bonior	Democratic	1976	Re-elected	David Bonior (D) 65% Tom Turner (R) 34%
Michigan 13	Lynn Rivers	Democratic	1994	Re-elected	Lynn Rivers (D) 65% Carl Barry (R) 33%
Michigan 14	John Conyers Jr.	Democratic	1964	Re-elected	John Conyers Jr. (D) 90% William Ashe (R) 10%
