Constituency	Winner	Party	Margin	Runner-up a	Party a
1. Thiruvallur (SC)	P. Venugopal	ADMK	31673	S. Gayathri	DMK
2. Chennai North	T.K.S. Elangovan	DMK	19153	D. Pandian	CPI
3. Chennai South	C. Rajendran	ADMK	32935	R. S. Bharathy	DMK
4. Chennai Central	Dayanidhi Maran *	DMK	33454	S. M. K. Mogamed Ali Jinnah	ADMK
5. Sriperumbudur	T.R. Baalu *	DMK	25036	A. K. Moorthy *	PMK
6. Kancheepuram (SC)	P. Viswanathan	INC	13103	E. Ramakrishnan	ADMK
7. Arakkonam	Jagathrakshakan	DMK	109796	R. Velu *	PMK
8. Vellore	Abdulrahman	DMK	107393	L. K. M. B. Vasu	ADMK
9. Krishnagiri	E.G. Sugavanam *	DMK	76598	K. Nanjegowdu	ADMK
10. Dharmapuri	R. Thamaraiselvan	DMK	135942	R. Senthil *	PMK
11. Tiruvannamalai	D. Venugopal *	DMK	148300	J. Gurunathan	PMK
12. Arani	M. Krishnasamy	INC	106830	N. Subramaniyan	ADMK
13. Viluppuram (SC)	M. Anandan	ADMK	2797	K. Swamidurai	VCK
14. Kallakurichi	Sankar Adhi	DMK	108608	K. Dhanaraju *	PMK
15. Salem	S. Semmalai	ADMK	46491	K. V. Thangkabalu *	INC
16. Namakkal	S. Gandhiselvan	DMK	102431	V. Vairam Tamilarasi	ADMK
17. Erode	A. Ganeshamurthi	MDMK	49336	E. V. K. S. Elangovan *	INC
18. Tiruppur	C. Sivasami	ADMK	85346	S. K. Kharventhan *	INC
19. Nilgiris (SC)	A. Raja *	DMK	86021	Dr. C. Krishnan *	MDMK
20. Coimbatore	P.R. Natarajan	CPM	38664	R. Prabhu *	INC
21. Pollachi	K. Sugumar	ADMK	46025	K. Shanmugasundaram	DMK
22. Dindigul	N.S.V. Chitthan *	INC	54347	P. Balasubramani	ADMK
23. Karur	M. Tambidurai	ADMK	47254	K. C. Palanisamy	DMK
24. Tiruchirappalli	P. Kumar	ADMK	4335	Sarubala R. Thondaiman	INC
25. Perambalur	D. Napoleon	DMK	77604	K. K. Balasubramanian	ADMK
26. Cuddalore	S. Alagiri	INC	23532	M. C. Sampath	ADMK
27. Chidambaram (SC)	Thol. Thirumaavalavan	VCK	99083	E. Ponnuswamy *	PMK
28. Mayiladuturai	O.S. Manian	ADMK	36854	Mani Shankar Aiyar *	INC
29. Nagapattinam (SC)	A.K.S. Vijayan *	DMK	47962	M. Selvaraj	CPI
30. Thanjavur	S.S. Palanimanickam *	DMK	101787	Durai Balakrishnan	MDMK
31. Sivaganga	P. Chidambaram *	INC	3354	R. S. Raja Kannappan	ADMK
32. Madurai	M.K. Azhagiri	DMK	140985	P. Mohan *	CPM
33. Theni	J.M. Aaron Rashid *	INC	6302	Thanga Tamilselvan	ADMK
34. Virudhunagar	Manicka Tagore	INC	15764	Vaiko	MDMK
35. Ramanathapuram	Sivakumar	DMK	69915	V. Sathiamoorthy	ADMK
36. Thoothukkudi	S.R. Jeyadurai	DMK	76649	Dr. Cynthia Pandian	ADMK
37. Tenkasi (SC)	P. Lingam	CPI	34677	K. Vellaipandi	INC
38. Tirunelveli	S. Ramasubbu	INC	21303	K. Annamalai	ADMK
