Year	Ceremony	Result	Award	Work
2004	AVN Award	Nominated	Best Male Newcomer	N/A
2004	AVN Award	Nominated	Best Three-Way Sex Scene – Video	Girlvert 2
2004	AVN Award	Nominated	Best Group Sex Scene – Video	Clusterfuck
2004	AVN Award	Nominated	Best Group Sex Scene – Video	Flesh Hunter 5
2004	AVN Award	Nominated	Best Group Sex Scene – Video	Gang Bang Auditions 10
2004	AVN Award	Nominated	Most Outrageous Sex Scene	Girlvert 3
2004	XRCO Award	Won	Group Scene	Flesh Hunter 5
2006	AVN Award	Nominated	Best Group Sex Scene – Video	Clusterfuck 3
2007	AVN Award	Nominated	Best Supporting Actor – Video	Illicit
2007	AVN Award	Nominated	Best Group Sex Scene – Film	Fade to Black 2
2008	AVN Award	Nominated	Best Anal Sex Scene, Film	Sex & Violins
2008	AVN Award	Nominated	Best Supporting Actor, Film	Sex & Violins
2010	AVN Award	Nominated	Best Supporting Actor	Throat: A Cautionary Tale
