Series #	Season #	Title	Directed by	Written by	Original air date
224	1	"One for the Road"	Christopher Chulack	Joe Sachs	September23,2004
225	2	"Damaged"	Paul McCrane	David Zabel	October7,2004
226	3	"Try Carter"	Jonathan Kaplan	R. Scott Gemmill	October14,2004
227	4	"Fear"	Lesli Linka Glatter	Dee Johnson	October21,2004
228	5	"An Intern's Guide to the Galaxy"	Arthur Albert	Lisa Zwerling	November4,2004
229	6	"Time of Death"	Christopher Chulack	David Zabel	November11,2004
230	7	"White Guy, Dark Hair"	Nelson McCormick	Lydia Woodward	November18,2004
231	8	"A Shot in the Dark"	Jonathan Kaplan	Joe Sachs	December2,2004
232	9	"Twas the Night"	Julie Hébert	Julie Hébert	December9,2004
233	10	"Skin"	Stephen Cragg	Dee Johnson	January13,2005
234	11	"Only Connect"	Jonathan Kaplan	Yahlin Chang	January20,2005
235	12	"The Providers"	Christopher Chulack	David Zabel	January27,2005
236	13	"Middleman"	Ernest Dickerson	Lisa Zwerling	February3,2005
237	14	"Just As I Am"	Richard Thorpe	Lydia Woodward	February10,2005
238	15	"Alone in a Crowd"	Jonathan Kaplan	Dee Johnson	February17,2005
239	16	"Here and There"	Christopher Chulack	David Zabel	February24,2005
240	17	"Back in the World"	Jonathan Kaplan	David Zabel and Lisa Zwerling	March24,2005
241	18	"Refusal of Care"	Gloria Muzio	Joe Sachs	April21,2005
242	19	"Ruby Redux"	Paul McCrane	Lisa Zwerling and Lydia Woodward	April28,2005
243	20	"You Are Here"	Ernest Dickerson	Karen Maser and Dee Johnson	May5,2005
244	21	"Carter est Amoureux"	Christopher Chulack	John Wells	May12,2005
