Name	Team	Qual 1	Qual 2	Best
Robert Wickens	Red Bull Forsythe Racing	1:32.542	1:30.934	1:30.934
James Hinchcliffe	Sierra Sierra Enterprises	1:32.410	1:31.896	1:31.896*
Jonathan Bomarito	PR1 Motorsports	1:32.835	1:31.126	1:31.126
Raphael Matos	Sierra Sierra Enterprises	1:32.693	1:31.147	1:31.147
J.R. Hildebrand	Newman Wachs Racing	1:33.014	1:31.191	1:31.191
Franck Perera	Condor Motorsports	1:33.083	1:31.202	1:31.202
Carl Skerlong	US Racetronics	1:32.443	1:31.203	1:31.203
Simona De Silvestro	Walker Racing	1:33.298	1:31.327	1:31.327
John Edwards	Red Bull Forsythe Racing	1:33.478	1:31.732	1:31.732
Giacomo Ricci	Conquest Racing	1:35.190	1:31.975	1:31.975
Alan Sciuto	Alan Sciuto Racing	1:34.514	1:31.992	1:31.992
Matt Lee	Conquest Racing	1:34.748	1:32.061	1:32.061
Tom Sutherland	Jensen MotorSport	1:34.106	1:32.209	1:32.209
Ronnie Bremer	Polestar Racing Group	1:33.747	1:32.269	1:32.269
Junior Strous	Condor Motorsports	1:34.316	1:32.615	1:32.615
Adrien Herberts	Paladin Motorsports	1:35.065	1:32.679	1:32.679
Mike Forest	PR1 Motorsports	1:35.571	1:32.863	1:32.863
David Garza	US RaceTronics	1:33.088	1:32.951	1:32.951
Justin Sofio	Mathiasen Motorsports	1:34.655	1:33.185	1:33.185
Adrian Carrio	Genoa Racing	1:35.779	1:33.583	1:33.583
Frankie Muniz	Jensen MotorSport	1:36.358	1:34.290	1:34.290
Richard Heistand	Genoa Racing	1:35.402	1:34.431	1:34.431
Brian Thienes	Condor Motorsports	1:35.969	1:34.578	1:34.578
Dominick Muermans	Jensen MotorSport	1:38.210	1:34.835	1:34.835
Dan Selznick	The Room Store	1:37.696	1:35.133	1:35.133
Jiang Tengyi	Brooks Associates Racing	1:37.451	1:35.250	1:35.250
Bret MacDonald	Polestar Racing Group	1:36.662	1:36.677	1:36.662
