Date	Venue	Score	Result	Competition
12 July 1991	Concepción , Chile	1–4	Loss	1991 Copa América
22 June 1995	Santiago , Chile	3–2	Win	1995 Copa Centenario
6 July 1995	Maldonado , Uruguay	2–1	Win	1995 Copa América
12 July 1995	Maldonado, Uruguay	3–2	Win	1995 Copa América
26 July 1996	Asunción , Paraguay	2–0	Win	Friendly
30 April 1997	Asunción, Paraguay	3–1	Win	1998 FIFA World Cup qualification
3 June 1998	București , Romania	2–3	Loss	Friendly
24 June 1998	Toulouse , France	3–1	Win	1998 FIFA World Cup
29 June 2000	Santiago, Chile	1–3	Loss	2002 FIFA World Cup qualification
2 September 2000	Asunción, Paraguay	3–0	Win	2002 FIFA World Cup qualification
15 November 2000	Asunción, Paraguay	5–1	Win	2002 FIFA World Cup qualification
24 April 2001	Quito , Ecuador	1–2	Loss	2002 FIFA World Cup qualification
5 September 2001	Asunción, Paraguay	5–1	Win	2002 FIFA World Cup qualification
13 February 2002	Ciudad del Este , Paraguay	2–2	Draw	Friendly
26 March 2003	San Diego , United States	1–1	Draw	Friendly
10 September 2003	Asunción, Paraguay	4–1	Win	2006 FIFA World Cup qualification
15 November 2003	Asunción, Paraguay	2–1	Win	2006 FIFA World Cup qualification
1 June 2004	La Paz , Bolivia	1–2	Loss	2006 FIFA World Cup qualification
19 January 2005	Los Angeles , United States	1–1	Draw	Friendly
27 March 2005	Quito, Ecuador	2–5	Loss	2006 FIFA World Cup qualification
30 March 2005	Asunción, Paraguay	2–1	Win	2006 FIFA World Cup qualification
27 May 2005	Aarhus , Denmark	1–1	Draw	Friendly
