Number	Player	Shoots	Position	Acquired	Place of Birth	Joined from
7	Mark Garside	L	C	2010	East Kilbride , Scotland	Edinburgh Capitals , EIHL
9	Andrew Fournier	L	LW	2012	Amherstview, Ontario , Canada	Olofströms IK , Swedish 1st Division
14	Daymen Rycroft	L	LW	2012	Beaverlodge , Alberta, Canada	Arizona Sundogs , CHL
15	Scott Champagne	L	LW	2012	Cornwall, Ontario , Canada	EV Ravensburg , 2.Bundesliga
17	Gregory Stewart	L	LW	2012	Kitchener, Ontario , Canada	South Carolina Stingrays , ECHL
24	Noah Clarke	L	LW	2012	La Verne, California , USA	EHC München , DEL
39	Gareth Roberts	R	RW	2010	Belfast , Northern Ireland	Dundalk Bulls , Irish Ice Hockey League
47	Adam Keefe C	L	RW	2011	Brampton, Ontario , Canada	Grand Rapids Griffins , AHL
71	Craig Peacock A	L	LW	2009	Peterborough , England	Peterborough Phantoms , EPIHL
72	Darryl Lloyd	L	C	2011	Pickering, Ontario , Canada	Kalamazoo Wings , ECHL
74	Matt Towe	R	F	2012	Sheffield , England	Guildford Flames , EPIHL
