Elector	Nationality	Faction	Elevated	Elevator
Nicolò Albertini , O.P.	Prato	Italian	1303, December 18	Benedict XI
Bérenger Frédol, seniore	French	"French"	1305, December 15	Clement V
Arnaud de Falguières	French	Gascon	1310, December 19	Clement V
Guillaume de Mandagot , C.R.S.A.	French	"French"	1312, December 23	Clement V
Arnaud d'Aux	French	Gascon	1312, December 23	Clement V
Jacques d'Euse	French	"French"	1312, December 23	Clement V
Nicolas de Fréauville , O.P.	French	"French"	1305, December 15	Clement V
Arnaud Nouvel , O.Cist.	French	Gascon	1310, December 19	Clement V
Bérenguer Frédol, iuniore	French	"French"	1312, December 23	Clement V
Michel du Bec-Crespin	French	"French"	1312, December 23	Clement V
Guillaume Teste	French	Gascon	1312, December 23	Clement V
Guillaume Pierre Godin , O.P.	French	Gascon	1312, December 23	Clement V
Vital du Four , O.F.M.	French	Gascon	1312, December 23	Clement V
Raymond, O.S.B.	French	Gascon	1312, December 23	Clement V
Giacomo Colonna	Roman	Italian	1278, March 12	Nicholas III
Napoleone Orsini	Roman	Italian	1288, May 16	Nicholas IV
Pietro Colonna	Roman	Italian	1288, May 16	Nicholas IV
Guglielmo de Longhi	Bergamo	Italian	1294, September 18	Celestine V
Giacomo Gaetani Stefaneschi	Rome	Italian	1295, December 17	Boniface VIII
Francesco Caetani	Rome	Italian	1295, December 17	Boniface VIII
Luc Fieschi	Genoese	Italian	1300, March 2	Boniface VIII
Arnaud de Pellegrue	French	Gascon	1305, December 15	Clement V
Raymond Guillaume des Forges	French	Gascon	1310, December 19	Clement V
Bernard de Garves	French	Gascon	1310, December 19	Clement V
