Outcome	Date	Tournament	Surface	Opponent	Score
Runner-up	7 August 2006	Binghamton, New York , United States	Hard	Scott Oudsema	6–7 (5–7) , 2–6
Runner-up	7 May 2007	Rijeka , Croatia	Clay	Marin Čilić	5–7, 2–6
Runner-up	6 August 2007	Istanbul , Turkey	Hard	Mischa Zverev	4–6, 4–6
Winner	15 October 2007	Kolding , Denmark	Hard (I)	Gilles Müller	7–6 (7–3) , 6–4
Winner	18 May 2009	Fergana , Uzbekistan	Hard	Samuel Groth	4–6, 7–5, 7–6 (7–4)
Winner	26 October 2009	Seoul , South Korea	Hard	Dušan Lojda	6–4, 6–2
Runner-up	8 November 2010	Urtijëi , Italy	Carpet (I)	Michał Przysiężny	3–6, 5–7
Winner	25 September 2011	İzmir , Turkey	Hard	Marsel İlhan	6–4, 6–3
Winner	20 November 2011	Bratislava , Slovakia	Hard	Ričardas Berankis	7–6 (9–7) , 6–2
Runner-up	14 October 2012	Tashkent , Uzbekistan	Hard	Uladzimir Ignatik	3–6, 6–7 (3–7)
Winner	18 November 2012	Helsinki , Finland	Hard	Jarkko Nieminen	6–3, 6–4
Runner-up	21 July 2013	Grandby , Canada	Hard	Frank Dancevic	4–6,7–6,3–6
