Frequency	Call sign	Location	Name / Format	Owner
570 AM	CKGL	Kitchener	570 News - news / talk	Rogers Communications
88.3 FM	CJIQ-FM	Kitchener	CJIQ - campus radio	Conestoga College
89.1 FM	CBLA-FM-2	Paris	CBC Radio One	Canadian Broadcasting Corporation
91.5 FM	CKBT-FM	Kitchener	91.5 The Beat - CHR / top 40	Corus Entertainment
94.3 FM	CJTW-FM	Kitchener	Faith FM 94.3 - christian radio	Sound of Faith Broadcasting Inc
96.7 FM	CHYM-FM	Kitchener	CHYM FM - light rock / adult contemporary	Rogers Communications Rogers Radio
98.5 FM	CKWR-FM	Waterloo	FM 98.5 CKWR - community radio	Wired World Inc
99.5 FM	CKKW-FM	Waterloo	KFUN 99.5 - oldies	Bell Media Radio
100.3 FM	CKMS-FM	Waterloo	100.3 Sound FM - campus radio and community radio	Radio Waterloo Inc.
102.5 FM	CKAV-FM-8	Kitchener	Aboriginal Voices Radio - First Nations	Aboriginal Voices
105.3 FM	CFCA-FM	Waterloo	105.3 Kool FM - hot adult contemporary	Bell Media Radio
106.7 FM	CIKZ-FM	Waterloo	KIX 106 - country music	Rogers Communications Rogers Radio
107.5 FM	CJDV-FM	Kitchener	107.5 Dave FM - rock	Corus Entertainment
