Episode	First broadcast	Seans team	Jasons team	Scores
7x01	4 September 2008	Scott Capurro and James Corden	Alun Cochrane and Carol McGiffin	6–4
7x02	5 September 2008	Lisa Appleton , Mario Marconi and Danny Wallace	Vanessa Feltz and Luke Marsden	7–4
7x03	11 September 2008	Christopher Biggins and Jamelia	Chris Hoy and Mark Watson	4–6
7x04	18 September 2008	Vic Reeves and Claudia Winkleman	Danny Jones and Jack Whitehall	6–4
7x05	25 September 2008	Tara Palmer-Tomkinson and Doug Stanhope	Rhod Gilbert and Ulrika Jonsson	4–6
7x06	2 October 2008	Greg Davies and John Thomson	Peter Andre and Sarah Millican	5–3
7x07	9 October 2008	Stewart Francis and Alex Zane	Kelly Osbourne and Andy Zaltzman	6–4
7x08	16 October 2008	Alun Cochrane and Kelvin MacKenzie	Steve Jones and Sarah Silverman	2–9
7x09	23 October 2008	James Corden and Jim Jefferies	Charlie Brooker and Olivia Lee	3–6
7x10	30 October 2008	Chris Addison and Johnny Vegas	Krishnan Guru-Murthy and Nicky Hambleton-Jones	5–4
7x11	6 November 2008	Rich Hall and Russell Howard	Jodie Kidd and Michael McIntyre	3–6
7x12	13 November 2008	Kayvan Novak and Louis Walsh	Lee Mack and Jennie McAlpine	4–5
7x13	20 November 2008	David Mitchell and Claudia Winkleman	Ken Livingstone and Jack Whitehall	4–4
7x14	27 November 2008	James Corden and Gabby Logan	Steve Jones and Carol Vorderman	6–4
