Pos	No	Driver	Constructor	Q1 order	Q1 time	Q1 pos	Q1+Q2 time
1	9	Kimi Räikkönen	McLaren - Mercedes	18	1:13.644	1	2.30.325
2	5	Fernando Alonso	Renault	17	1:14.125	2	2.30.406
3	7	Mark Webber	Williams - BMW	13	1:14.584	3	2.31.656
4	6	Giancarlo Fisichella	Renault	14	1:14.783	4	2.32.100
5	16	Jarno Trulli	Toyota	16	1:15.189	7	2.32.590
6	8	Nick Heidfeld	Williams - BMW	9	1:15.128	6	2.32.883
7	14	David Coulthard	Red Bull - Cosworth	11	1:15.329	8	2.33.867
8	1	Michael Schumacher	Ferrari	4	1:16.186	11	2.34.736
9	11	Jacques Villeneuve	Sauber - Petronas	5	1:15.921	9	2.34.936
10	2	Rubens Barrichello	Ferrari	10	1:16.142	10	2.34.983
11	12	Felipe Massa	Sauber - Petronas	8	1:16.218	12	2.35.120
12	15	Vitantonio Liuzzi	Red Bull - Cosworth	1	1:16.817	13	2.37.152
13	20	Patrick Friesacher	Minardi - Cosworth	2	1:18.574	14	2.40.810
14	21	Christijan Albers	Minardi - Cosworth	3	1:19.229	15	2.42.206
15	18	Tiago Monteiro	Jordan - Toyota	7	1:19.408	16	2.43.078
16	10	Juan Pablo Montoya #	McLaren - Mercedes	12	1:14.858	5	NO TIME
17	19	Narain Karthikeyan *	Jordan - Toyota	6	1:19.474	17	2.43.422
