Outcome	Date	Tournament	Surface	Opponent in the final	Score in the final
Winner	August 2, 1994	Bourgas , Bulgaria ITF $10,000	Hard	Henriette van Aalderen	7–5, 6–0
Winner	August 20, 1995	Wahlscheid , Germany ITF $10,000	Clay	Monika Starosta	6–4, 6–1
Winner	September 3, 1995	Bad Nauheim , Germany ITF $10,000	Clay	Alena Havrliková	3–6, 6–3, 6–4
Runner-up	August 4, 1996	Horb , Germany ITF $10,000	Clay	Choi Ju-yeon	3–6, 1–6
Winner	August 25, 1996	Bad Nauheim , Germany ITF $10,000	Clay	Lisa Fritz	6–3, 7–6 (7–2)
Winner	February 23, 1997	Faro, Portugal ITF $10,000	Hard	Athina Briegel	6–4, 6–1
Runner-up	April 20, 1997	Dubrovnik , Croatia ITF $10,000	Clay	Milena Nekvapilová	2–6, 6–0, 2–6
Winner	July 20, 1997	Darmstadt , Germany ITF $25,000	Clay	Raluca Sandu	6–4, 6–1
Runner-up	September 21, 1997	Sofia , Bulgaria ITF $25,000	Clay	Ana Alcázar	6–2, 3–6, 1–6
Winner	October 18, 1998	Indian Wells , CA, USA ITF $25,000	Hard	Kim Eun-ha	6–3, 6–4
Runner-up	April 2, 2000	Norcross , GA, USA ITF $25,000	Hard	Marissa Irvin	2–6, 3–6
Runner-up	November 18, 2001	Port Pirie , Australia ITF $25,000	Hard	Saori Obata	1–6, 2–6
