Townland	Area( acres )	Barony	Civil parish	Poor law union
Aghyohil Beg	94	East Carbery (E.D.)	Desertserges	Bandon
Aghyohil More	178	East Carbery (E.D.)	Desertserges	Bandon
Ahalisky	886	East Carbery (E.D.)	Kilmaloda	Clonakilty
Ardacrow	519	East Carbery (E.D.)	Rathclarin	Bandon
Ardea	295	East Carbery (E.D.)	Ballymoney	Dunmanway
Ardkitt East	283	East Carbery (E.D.)	Desertserges	Bandon
Ardkitt West	407	East Carbery (E.D.)	Desertserges	Bandon
Ardnaclug	202	East Carbery (E.D.)	Inishannon	Bandon
Artiteige	337	East Carbery (E.D.)	Templetrine	Kinsale
Ballinadee	329	East Carbery (E.D.)	Ballinadee	Bandon
Ballinard	589	East Carbery (E.D.)	Desertserges	Clonakilty
Ballinoroher	757	East Carbery (E.D.)	Templequinlan	Clonakilty
Ballinrougher	121	East Carbery (E.D.)	Kilnagross	Clonakilty
Ballinvronig	319	East Carbery (E.D.)	Templetrine	Kinsale
Bally More	418	East Carbery (E.D.)	Kilbrittain	Bandon
Ballybeg	261	East Carbery (E.D.)	Kilbrittain	Bandon
Ballycatteen	338	East Carbery (E.D.)	Rathclarin	Bandon
Ballydownis	73	East Carbery (E.D.)	Ringrone	Kinsale
Ballydownis East	42	East Carbery (E.D.)	Templetrine	Kinsale
Ballydownis West	60	East Carbery (E.D.)	Templetrine	Kinsale
Ballylangley	288	East Carbery (E.D.)	Ballymodan	Bandon
Ballymacowen	522	East Carbery (E.D.)	Kilnagross	Clonakilty
Ballymountain	533	East Carbery (E.D.)	Inishannon	Bandon
Ballynacarriga	124	East Carbery (E.D.)	Ballymoney	Dunmanway
Ballynascubbig	272	East Carbery (E.D.)	Templetrine	Kinsale
Ballyvoige	278	East Carbery (E.D.)	Desertserges	Clonakilty
Ballyvolane	333	East Carbery (E.D.)	Ballinadee	Bandon
Baltinakin	333	East Carbery (E.D.)	Kilbrittain	Bandon
Barleyfield	795	East Carbery (E.D.)	Rathclarin	Bandon
Baurleigh	885	East Carbery (E.D.)	Kilbrittain	Bandon
Bawnea	112	East Carbery (E.D.)	Templetrine	Kinsale
Bawnea	355	East Carbery (E.D.)	Ringrone	Kinsale
Beanhill North	108	East Carbery (E.D.)	Kilnagross	Clonakilty
Beanhill South	134	East Carbery (E.D.)	Kilnagross	Clonakilty
Boulteen	212	East Carbery (E.D.)	Desertserges	Bandon
Breaghna	333	East Carbery (E.D.)	Desertserges	Bandon
Buddrimeen	227	East Carbery (E.D.)	Ballymoney	Dunmanway
Bunanumera	232	East Carbery (E.D.)	Ballymoney	Dunmanway
Burrane	410	East Carbery (E.D.)	Kilmaloda	Clonakilty
Burren	639	East Carbery (E.D.)	Rathclarin	Bandon
Cappeen	36	East Carbery (E.D.)	Kilgarriff	Clonakilty
Carhoogarriff	281	East Carbery (E.D.)	Kilnagross	Clonakilty
Carhoovauler	561	East Carbery (E.D.)	Desertserges	Clonakilty
Carrig	165	East Carbery (E.D.)	Templequinlan	Clonakilty
Carrig	410	East Carbery (E.D.)	Kilmaloda	Clonakilty
Carriganookery	94	East Carbery (E.D.)	Kilnagross	Clonakilty
Carrigcannon	122	East Carbery (E.D.)	Ringrone	Kinsale
Carrigcannon	59	East Carbery (E.D.)	Ballymodan	Bandon
Carrigeen	210	East Carbery (E.D.)	Ballymoney	Dunmanway
Carrigroe	276	East Carbery (E.D.)	Desertserges	Bandon
Cashelisky	368	East Carbery (E.D.)	Island	Clonakilty
Castlederry	148	East Carbery (E.D.)	Desertserges	Clonakilty
Clashafree	477	East Carbery (E.D.)	Ballymodan	Bandon
Clashreagh	132	East Carbery (E.D.)	Templetrine	Kinsale
Clogagh North	173	East Carbery (E.D.)	Kilmaloda	Clonakilty
Clogagh South	282	East Carbery (E.D.)	Kilmaloda	Clonakilty
Cloghane	488	East Carbery (E.D.)	Ballinadee	Bandon
Clogheenavodig	70	East Carbery (E.D.)	Ballymodan	Bandon
Cloghmacsimon	258	East Carbery (E.D.)	Ballymodan	Bandon
Cloheen	360	East Carbery (E.D.)	Kilgarriff	Clonakilty
Cloheen	80	East Carbery (E.D.)	Island	Clonakilty
