Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
2	November 3	Milwaukee	W 109–92 (OT)	Chris Bosh (26)	Chris Bosh (15)	T. J. Ford (11)	Air Canada Centre 19,832	1–1
3	November 5	San Antonio	L 94–103 (OT)	Chris Bosh (19)	Chris Bosh (17)	T. J. Ford (5)	Air Canada Centre 18,098	1–2
4	November 8	Philadelphia	W 106–104 (OT)	Chris Bosh (29)	Chris Bosh (44)	T. J. Ford (7)	Air Canada Centre 15,831	2–2
5	November 10	Atlanta	L 102–111 (OT)	Chris Bosh (19)	Chris Bosh (17)	T. J. Ford (11)	Air Canada Centre 14,680	2-3
6	November 12	@ Sacramento	L 92–107 (OT)	Chris Bosh (19)	Chris Bosh (7)	T. J. Ford (7)	ARCO Arena 17,317	2–4
7	November 14	@ Golden State	L 99–110 (OT)	Chris Bosh (23)	Chris Bosh (22)	T. J. Ford (6)	Oracle Arena 16,182	2–5
8	November 17	@ L.A. Lakers	L 100–107 (OT)	Chris Bosh , Morris Peterson (20)	Chris Bosh (10)	T. J. Ford , Fred Jones (6)	Staples Center 18,997	2–6
9	November 18	@ Denver	L 109–117 (OT)	Chris Bosh (31)	Jorge Garbajosa (10)	T. J. Ford (18)	Pepsi Center 15,531	2–7
10	November 20	@ Utah	L 96–101 (OT)	Chris Bosh (17)	Chris Bosh (11)	T. J. Ford (5)	EnergySolutions Arena 18,881	2–8
11	November 22	Cleveland	W 95–87 (OT)	Chris Bosh (25)	Chris Bosh (14)	Chris Bosh (6)	Air Canada Centre 19,800	3–8
12	November 24	@ Atlanta	L 93–97 (OT)	T. J. Ford (25)	Jorge Garbajosa (12)	T. J. Ford (12)	Philips Arena 16,630	3–9
13	November 26	Indiana	W 92–83 (OT)	Chris Bosh (17)	Chris Bosh (11)	T. J. Ford (6)	Air Canada Centre 18,075	4–9
14	November 28	@ New Orleans/Oklahoma City	W 94–77 (OT)	Chris Bosh , Anthony Parker (19)	Chris Bosh (14)	José Calderón (4)	Ford Center 15,647	5–9
