Season	Competition	Round	Club	1st Leg
1995	UEFA Intertoto Cup	Group 8	Bečej	2–1 (H)
1995	UEFA Intertoto Cup	Group 8	Pogoń Szczecin	3–3 (A)
1995	UEFA Intertoto Cup	Group 8	Cannes	2–2 (H)
1995	UEFA Intertoto Cup	Group 8	Farul Constanţa	0–2 (A)
1998	UEFA Intertoto Cup	1R	Debrecen	2–4 (H)
1999–2000	UEFA Champions League	2R	AIK	0–1 (H)
2000	UEFA Intertoto Cup	1R	Silkeborg	2–1 (H)
2000	UEFA Intertoto Cup	2R	Chmel Blšany	2–6 (A)
2010–2011	UEFA Europa League	1Q	Laçi	1–1 (A)
2010–2011	UEFA Europa League	2Q	Stabæk	2–2 (A)
2010–2011	UEFA Europa League	3Q	Baník Ostrava	1–0 (H)
2010–2011	UEFA Europa League	Play-off	Villareal	0–5 (A)
