Nat.	Name	Moving to	Type	Transfer window	Transfer fee	Source
BRA	Edmílson	Villarreal	Contract Termination	Summer	Free	Barcelona.cat
ITA	Zambrotta	Milan	Transfer	Summer	€9M + €2M in variables	Barcelona.cat
MEX	Dos Santos	Tottenham Hotspur	Transfer	Summer	€6M + €5M in variables	Barcelona.cat
FRA	Thuram	Retired	Contract Termination	Summer	Free	Barcelona.cat
ESP	Ezquerro	Osasuna	Contract Termination	Summer	Free	Barcelona.cat
POR	Deco	Chelsea	Transfer	Summer	€10M	Barcelona.cat
BRA	Ronaldinho	Milan	Transfer	Summer	€21M + €4M in variables	Barcelona.cat
BRA	Henrique	Bayer Leverkusen	Loan	Summer	N/A	Barcelona.cat
ESP	Oleguer	Ajax	Transfer	Summer	€3M + €2,25M in variables	Barcelona.cat
ESP	Crosas	Celtic	Transfer	Summer	€0.5M + €0.8M in variables	Barcelona.cat
