Week	Date	Opponent	Result	Kickoff [a ]	Game site	Attendance	Record
Week	Date	Opponent	Result	Kickoff [a ]	Game site	Attendance	Record
1	September 3, 1995	at Philadelphia Eagles	W 21-6	1:00	Veterans Stadium	66,266	1-0
2	September 10, 1995	at Cleveland Browns	L 6-22	1:00	Cleveland Stadium	61,083	1-1
3	September 17, 1995	Chicago Bears	L 6-25	4:00	Tampa Stadium	71,507	1-2
4	September 24, 1995	Washington Redskins	W 14-6	1:00	Tampa Stadium	49,234*	2-2
5	October 1, 1995	at Carolina Panthers	W 20-13	1:00	Clemson Memorial Stadium	50,076	3-2
6	October 8, 1995	Cincinnati Bengals	W 19-16	1:00	Tampa Stadium	41,732*	4-2
7	October 15, 1995	Minnesota Vikings	W 20-17 OT	1:00	Tampa Stadium	55,703*	5-2
8	October 22, 1995	Atlanta Falcons	L 21-24	1:00	Tampa Stadium	66,135*	5-3
9	October 29, 1995	at Houston Oilers	L 7-19	4:00	Houston Astrodome	31,489	5-4
10	Bye	Bye	Bye	Bye	Bye	Bye	Bye
11	November 12, 1995	at Detroit Lions	L 24-27	1:00	Pontiac Silverdome	60,644	5-5
12	November 19, 1995	Jacksonville Jaguars	W 17-16	1:00	Tampa Stadium	71,629*	6-5
13	November 26, 1995	at Green Bay Packers	L 13-35	1:00	Lambeau Field	59,218	6-6
14	December 3, 1995	at Minnesota Vikings	L 17-31	1:00	Hubert H. Humphrey Metrodome	52,879	6-7
15	December 10, 1995	Green Bay Packers	W 13-10 OT	8:00	Tampa Stadium	67,557*	7-7
16	December 17, 1995	at Chicago Bears	L 10-31	1:00	Soldier Field	49,475	7-8
17	December 23, 1995	Detroit Lions	L 10-37	4:00	Tampa Stadium	50,049*	7-9
