District	Incumbent	Party	First elected	Result	Candidates
Texas 1	Wright Patman	Democratic	1928	Re-elected	Wright Patman (D) Unopposed
Texas 2	John Dowdy Redistricted from 7th	Democratic	1952	Re-elected	John Dowdy (D) Unopposed
Texas 3	Joe R. Pool Redistricted from at-large	Democratic	1962	Re-elected	Joe R. Pool (D) 53.4% Bill Hayes (R) 46.6%
Texas 4	Ray Roberts	Democratic	1962	Re-elected	Ray Roberts (D) Unopposed
Texas 4	Lindley Beckworth Redistricted from 3rd	Democratic	1956	Lost renomination Democratic loss	Ray Roberts (D) Unopposed
Texas 5	Earle Cabell	Democratic	1964	Re-elected	Earle Cabell (D) 61.0% Duke Burgess (R) 39.0%
Texas 6	Olin E. Teague	Democratic	1946	Re-elected	Olin E. Teague (D) Unopposed
Texas 8	Lera Millard Thomas	Democratic	1966	Retired Democratic hold	Robert C. Eckhardt (D) 92.3% W. D. Spayne (R) 7.7%
Texas 9	Jack Brooks Redistricted from 2nd	Democratic	1952	Re-elected	Jack Brooks (D) Unopposed
Texas 9	Clark W. Thompson	Democratic	1947	Retired Democratic loss	Jack Brooks (D) Unopposed
Texas 12	Jim Wright	Democratic	1954	Re-elected	Jim Wright (D) Unopposed
Texas 14	John Andrew Young	Democratic	1956	Re-elected	John Andrew Young (D) Unopposed
Texas 15	Kika de la Garza	Democratic	1964	Re-elected	Kika de la Garza (D) Unopposed
Texas 16	Richard C. White	Democratic	1964	Re-elected	Richard C. White (D) Unopposed
Texas 17	Omar Burleson	Democratic	1946	Re-elected	Omar Burleson (D) Unopposed
Texas 18	Walter E. Rogers	Democratic	1950	Retired Republican gain	Bob Price (R) 59.5% Dee Miller (D) 40.5%
Texas 19	George H. Mahon	Democratic	1934	Re-elected	George H. Mahon (D) Unopposed
Texas 21	O. C. Fisher	Democratic	1942	Re-elected	O. C. Fisher (D) Unopposed
