Round	Pick #	Overall	Name	Position	College
1	2	2	Kevin Hardy	Linebacker	Illinois
2	3	33	Tony Brackens	Defensive End	Texas
2	30	60	Michael Cheever	Center	Georgia Tech
3	2	63	Aaron Beasley	Cornerback	West Virginia
4	15	110	Reggie Barlow	Wide Receiver	Alabama State
5	14	146	Jimmy Herndon	Guard	Houston
6	3	170	John Fisher	Defensive Back	Missouri Western
6	18	185	Chris Doering	Wide Receiver	Florida
7	18	227	Clarence Jones	Wide Receiver	Tennessee State
7	19	228	Gregory Spann	Wide Receiver	Jackson State
