Game	Date	Opponent	Score	High points	High rebounds	High assists	Location/Attendance	Record
17	July 1	@ Indiana	W 76-66	Douglas (22)	Whalen (10)	Whalen , Sales (3)	Conseco Fieldhouse 7,033	12-5
18	July 6	Charlotte	W 76-71	Whalen (20)	Dydek (9)	Whalen (5)	Mohegan Sun Arena 6,019	13-5
19	July 8	Phoenix	W 82-77	Douglas (22)	McWilliams-Franklin (12)	McWilliams-Franklin (5)	Mohegan Sun Arena 9,341	14-5
20	July 15	@ Sacramento	L 63-69	McWilliams-Franklin (13)	McWilliams-Franklin (10)	Phillips (4)	ARCO Arena 7,997	14-6
21	July 16	@ Seattle	W 92-83	Douglas (26)	Dydek (14)	McWilliams-Franklin (7)	KeyArena 8,952	15-6
22	July 20	Chicago	W 86-72	Douglas (19)	McWilliams-Franklin (8)	Phillips (6)	Mohegan Sun Arena 6,740	16-6
23	July 22	@ San Antonio	W 79-61	Dydek (18)	McWilliams-Franklin (10)	McWilliams-Franklin , Whalen (7)	AT&T Center N/A	17-6
24	July 24	@ New York	W 89-71	McWilliams-Franklin (22)	Dydek (10)	Douglas (6)	Madison Square Garden 8,419	18-6
25	July 25	Washington	W 73-86	Douglas (28)	McWilliams-Franklin (12)	McWilliams-Franklin (6)	Mohegan Sun Arena 6,535	19-6
26	July 28	Sacramento	W 75-68	Douglas (19)	McWilliams-Franklin (14)	Douglas (6)	Mohegan Sun Arena 7,558	20-6
