1st LBSC No.	LBSC Name	Built	2nd LBSC No.	1st SR No.	2ns SR No.	Withdrawn
172	Littlehampton	Cannot handle non-empty timestamp argument! 1891	—	B172	2172	Cannot handle non-empty timestamp argument! 1933
173	Cottesloe	Cannot handle non-empty timestamp argument! 1891	—	B173	—	Cannot handle non-empty timestamp argument! 1926
174	Fratton	Cannot handle non-empty timestamp argument! 1890	—	B174	—	Cannot handle non-empty timestamp argument! 1926
175	Hayling	Cannot handle non-empty timestamp argument! 1890	—	—	—	Cannot handle non-empty timestamp argument! 1926
176	Pevensey	Cannot handle non-empty timestamp argument! 1890	—	B176	—	Cannot handle non-empty timestamp argument! 1929
177	Southsea	Cannot handle non-empty timestamp argument! 1890	—	B177	—	Cannot handle non-empty timestamp argument! 1926
178	Leatherhead	Cannot handle non-empty timestamp argument! 1890	—	—	—	Cannot handle non-empty timestamp argument! 1912
179	Sandown	Cannot handle non-empty timestamp argument! 1890	—	B179	—	Cannot handle non-empty timestamp argument! 1929
180	Arundel	Cannot handle non-empty timestamp argument! 1890	—	B180	—	Cannot handle non-empty timestamp argument! 1925
181	Croydon	Cannot handle non-empty timestamp argument! 1890	—	B181	—	Cannot handle non-empty timestamp argument! 1929
182	Hastings	Cannot handle non-empty timestamp argument! 1889	—	—	—	Cannot handle non-empty timestamp argument! 1910
183	Eastbourne	Cannot handle non-empty timestamp argument! 1889	—	—	—	Cannot handle non-empty timestamp argument! 1929
184	Carew D Gilbert	Cannot handle non-empty timestamp argument! 1889	—	B184	—	Cannot handle non-empty timestamp argument! 1930
185	George A Wallis	Cannot handle non-empty timestamp argument! 1889	—	—	—	Cannot handle non-empty timestamp argument! 1923
186	De La Warr	Cannot handle non-empty timestamp argument! 1889	—	—	—	Cannot handle non-empty timestamp argument! 1911
187	Philip Rose	Cannot handle non-empty timestamp argument! 1889	—	B187	—	Cannot handle non-empty timestamp argument! 1930
188	Allen Sarle	Cannot handle non-empty timestamp argument! 1889	—	B188	—	Cannot handle non-empty timestamp argument! 1925
189	Edward Blount	Cannot handle non-empty timestamp argument! 1889	—	—	—	Cannot handle non-empty timestamp argument! 1912
190	Arthur Otway	Cannot handle non-empty timestamp argument! 1888	—	B190	—	Cannot handle non-empty timestamp argument! 1930
191	Gordon-Lennox	Cannot handle non-empty timestamp argument! 1888	—	B191	—	Cannot handle non-empty timestamp argument! 1929
192	Jacomb-Hood	Cannot handle non-empty timestamp argument! 1888	—	—	—	Cannot handle non-empty timestamp argument! 1927
193	Fremantle	Cannot handle non-empty timestamp argument! 1888	—	B193	—	Cannot handle non-empty timestamp argument! 1930
194	Bickersteth	Cannot handle non-empty timestamp argument! 1888	—	B194	2194	Cannot handle non-empty timestamp argument! 1931
195	Cardew	Cannot handle non-empty timestamp argument! 1888	—	—	—	Cannot handle non-empty timestamp argument! 1912
196	Ralph L Lopes	Cannot handle non-empty timestamp argument! 1888	—	—	—	Cannot handle non-empty timestamp argument! 1912
197	Jonas Levy	Cannot handle non-empty timestamp argument! 1888	—	B197	2197	Cannot handle non-empty timestamp argument! 1932
198	Sheffield	Cannot handle non-empty timestamp argument! 1887	—	B198	—	Cannot handle non-empty timestamp argument! 1930
199	Samuel Laing	Cannot handle non-empty timestamp argument! 1887	—	—	—	Cannot handle non-empty timestamp argument! 1925
200	Beresford	Cannot handle non-empty timestamp argument! 1887	—	B200	—	Cannot handle non-empty timestamp argument! 1929
214	Gladstone	Cannot handle non-empty timestamp argument! 1882	618	B214	—	Cannot handle non-empty timestamp argument! 1927
215	Salisbury	Cannot handle non-empty timestamp argument! 1883	—	—	—	Cannot handle non-empty timestamp argument! 1910
216	Granville	Cannot handle non-empty timestamp argument! 1883	—	—	—	Cannot handle non-empty timestamp argument! 1911
217	Northcote	Cannot handle non-empty timestamp argument! 1883	620	—	—	Cannot handle non-empty timestamp argument! 1927
218	Beaconsfield	Cannot handle non-empty timestamp argument! 1885	—	—	—	Cannot handle non-empty timestamp argument! 1913
219	Cleveland	Cannot handle non-empty timestamp argument! 1885	619	B619	—	Cannot handle non-empty timestamp argument! 1928
220	Hampden	Cannot handle non-empty timestamp argument! 1887	—	—	—	Cannot handle non-empty timestamp argument! 1911
