Week of	Tournament	Champions	Runners-up	Semifinalists
13 September	Bucharest , Romania $500,000	Goran Ivanišević 6-2 7-6(5)	Andrei Cherkasov	Guillermo Pérez-Roldán Andrea Gaudenzi
13 September	Bucharest , Romania $500,000	Oosting / Pimek 7-6 7-6	Cosac / Porumb	Guillermo Pérez-Roldán Andrea Gaudenzi
13 September	Bordeaux , France $330,000	Sergi Bruguera 7-5 6-2	Diego Nargiso	Arnaud Boetsch Marc Rosset
13 September	Bordeaux , France $330,000	Albano / Frana 7-6 4-6 6-3	Adams / Olhovskiy	Arnaud Boetsch Marc Rosset
27 September	Palermo , Italy $290,000	Thomas Muster 7-6(2) 7-5	Sergi Bruguera	Federico Sanchez Andrea Gaudenzi
27 September	Palermo , Italy $290,000	Casal / Sánchez 6-3 6-3	Garat / Lozano	Federico Sanchez Andrea Gaudenzi
27 September	Kuala Lumpur , Malaysia $275,000	Michael Chang 6-0 6-4	Jonas Svensson	Neil Borwick Grant Stafford
27 September	Kuala Lumpur , Malaysia $275,000	Eltingh / Haarhuis 7-5 4-6 7-6	Björkman / Wahlgren	Neil Borwick Grant Stafford
27 September	Basel , Switzerland $775,000	Michael Stich 6-4 6-7(5) 6-3 6-2	Stefan Edberg	Marc Rosset Martin Damm
27 September	Basel , Switzerland $775,000	Black / Stark 3-6 7-5 6-3	Pearce / Randall	Marc Rosset Martin Damm
