Player	VFL Games	VFL Club(s)	Rank held at time of death	Date of death	Location
Syd Anderson	53	Melbourne	Flying Officer, 100 Squadron, R.A.A.F.	20 May 1944	Shot down off Wewak , New Guinea
Jack Atkins	4	Melbourne	Able Seaman, H.M.A.S. Perth , Naval Reserve	1 March 1942	Sunda Strait , off Java
Harold Comte	104	St Kilda	Private, 2/24th Battalion, Second A.I.F.	30 May 1945	Tarakan , Dutch East Indies
Tommy Corrigan	107	Fitzroy	Sergeant, 1 Recruit Centre Melbourne, R.A.A.F.	9 January 1943	Heidelberg Military Hospital
Bill Cosgrove	3	Richmond	Fight Sergeant, 30 Squadron, R.A.A.F.	11 August 1943	off Goodenough Island Milne Bay
Alf Giblett	9	Hawthorn	Corporal, 2/24th Battalion, Second A.I.F.	19 June 1943	New Guinea
Godfrey Goldin	8	Essendon	Private, 2/7th Battalion, Second A.I.F.	7 February 1943	New Guinea
Alf Goonan	7	North Melbourne	Private, 2/29th Battalion, Second A.I.F.	22 January 1942	Malaya
Fred Heintz	14	Fitzroy	Private, 2/21st Battalion, Second A.I.F.	20 February 1942	Ambon , Dutch East Indies
Stuart King	43	St Kilda	Flying Officer, 11 Squadron, R.A.A.F.	28 February 1943	off Cairns , Far North Queensland
Jim Knight	43	Geelong Carlton	Flying Officer, 30 Squadron, R.A.A.F.	11 October 1943	Goodenough Island , Milne Bay
Alex Nash DFM	1	Hawthorn	Pilot Officer, 8 Squadron, R.A.A.F.	28 March 1944	off Bougainville Island , New Guinea
Norm Oliver	13	Collingwood	Flying Officer, 4 Squadron, R.A.A.F.	27 June 1944	Madang , New Guinea
Beres Reilly	13	St Kilda N. Melbourne Melbourne	Pilot Officer, 454 Squadron, R.A.A.F.	23 July 1943	over Crete
Archie Roberts	48	Essendon Melbourne	Private, 2/21st Battalion, Second A.I.F.	6 June 1945	Ambon Dutch East Indies
Jack Shelton	2	S. Melbourne St Kilda	Lieutenant, 2/21st Battalion, Second A.I.F.	1 May 1941	Libya
Keith Truscott DFC and Bar	50	Melbourne	Squadron Leader, 76 Squadron, R.A.A.F.	28 March 1943	Exmouth Gulf , Western Australia
Jack Wade	26	South Melbourne	Private, 2/27th Battalion, Second A.I.F.	11 June 1941	Syria
Max Wheeler	1	Hawthorn	Private, 2/2nd Pioneer Battalion, Second A.I.F.	11 June 1941	Syria
