Year	Award	Category	Nominee	Result
1985	Tony Award	Best Musical	Best Musical	Won
1985	Tony Award	Best Book of a Musical	William Hauptman	Won
1985	Tony Award	Best Original Score	Roger Miller	Won
1985	Tony Award	Best Performance by a Featured Actor in a Musical	Ron Richardson	Won
1985	Tony Award	Best Performance by a Featured Actor in a Musical	Daniel H. Jenkins	Nominated
1985	Tony Award	Best Performance by a Featured Actor in a Musical	René Auberjonois	Nominated
1985	Tony Award	Best Direction of a Musical	Des McAnuff	Won
1985	Tony Award	Best Scenic Design	Heidi Landesman	Won
1985	Tony Award	Best Costume Design	Patricia McGourty	Nominated
1985	Tony Award	Best Lighting Design	Richard Riddell	Won
1985	Drama Desk Award	Outstanding Actor in a Musical	Ron Richardson	Won
1985	Drama Desk Award	Outstanding Actor in a Musical	Daniel H. Jenkins	Nominated
1985	Drama Desk Award	Outstanding Featured Actor in a Musical	René Auberjonois	Won
1985	Drama Desk Award	Outstanding Featured Actor in a Musical	John Short	Nominated
1985	Drama Desk Award	Outstanding Featured Actor in a Musical	Bob Gunton	Nominated
1985	Drama Desk Award	Outstanding Featured Actor in a Musical	John Goodman	Nominated
1985	Drama Desk Award	Outstanding Featured Actress in a Musical	Patti Cohenour	Nominated
1985	Drama Desk Award	Outstanding Orchestrations	Steven Margoshes and Danny Troob	Won
1985	Drama Desk Award	Outstanding Lyrics	Roger Miller	Won
1985	Drama Desk Award	Outstanding Music	Roger Miller	Won
1985	Drama Desk Award	Outstanding Set Design	Heidi Landesman	Won
1985	Drama Desk Award	Outstanding Costume Design	Patricia McGourty	Won
1985	Drama Desk Award	Outstanding Lighting Design	Richard Riddell	Won
1985	Theatre World Award	Theatre World Award	Patti Cohenour	Won
