County	Obama%	Obama#	McCain%	McCain#	Others%	Others#
Appling	26.4%	1846	72.6%	5085	1.0%	71
Atkinson	32.3%	938	66.8%	1941	1.0%	28
Bacon	20.7%	817	78.4%	3089	0.9%	36
Baker	50.1%	846	49.0%	828	0.9%	15
Baldwin	51.8%	8587	47.2%	7823	0.9%	154
Banks	16.4%	1027	81.9%	5120	1.6%	102
Barrow	27.0%	6657	71.6%	17625	1.4%	351
Bartow	26.7%	9962	71.8%	25976	1.5%	537
Ben Hill	42.8%	2590	56.5%	3417	0.7%	45
Berrien	22.8%	1471	75.9%	4901	1.3%	81
Bibb	58.7%	38987	40.7%	27037	0.6%	424
Bleckley	27.1%	1380	71.9%	3657	0.9%	47
Brantley	17.8%	1119	80.8%	5080	1.4%	89
Brooks	43.0%	2669	56.5%	3507	0.5%	29
Bryan	28.3%	3636	70.8%	9112	0.9%	119
Bulloch	40.0%	9586	59.1%	14174	0.9%	216
Burke	54.3%	5233	45.1%	4344	0.6%	60
Butts	33.7%	3065	65.3%	5947	1.0%	92
Calhoun	60.7%	1342	39.0%	862	0.4%	8
Camden	37.9%	6482	61.4%	10502	0.7%	124
Candler	34.3%	1209	64.9%	2286	0.8%	27
Carroll	33.0%	14334	66.0%	28661	1.0%	448
Catoosa	24.5%	6025	74.0%	18218	1.5%	362
Charlton	32.4%	1197	66.7%	2466	0.9%	34
Chatham	56.8%	62755	42.4%	46829	0.8%	858
Chattahoochee	50.1%	830	49.0%	811	0.9%	15
Chattooga	31.1%	2596	66.8%	5572	2.0%	169
Cherokee	23.8%	22350	74.8%	70279	1.4%	1349
Clarke	64.8%	29591	33.6%	15333	1.6%	742
Clay	61.0%	879	38.8%	558	0.2%	3
Clayton	82.9%	82527	16.6%	16506	0.5%	481
Clinch	36.6%	989	62.1%	1678	1.3%	35
Cobb	44.7%	141216	54.1%	170957	1.2%	3951
Coffee	35.0%	4811	64.5%	8872	0.5%	75
Colquitt	30.8%	4139	68.3%	9185	1.9%	130
Columbia	28.3%	15703	70.9%	39322	0.8%	441
Cook	35.1%	2075	63.6%	3782	0.5%	52
Coweta	28.9%	15521	70.0%	37571	1.0%	543
Crawford	34.9%	1832	64.0%	3358	1.1%	58
Crisp	40.8%	3085	58.6%	4424	0.6%	45
Dade	25.0%	1612	73.0%	4703	2.0%	127
Dawson	16.3%	1632	82.5%	8242	1.1%	112
Decatur	42.6%	4424	56.7%	5890	0.7%	71
DeKalb	78.9%	254594	20.3%	65581	0.8%	2671
Dodge	31.6%	2595	67.4%	5543	1.0%	86
Dooly	51.4%	2138	47.8%	1991	0.8%	32
Dougherty	67.2%	26135	32.3%	12547	0.5%	204
Douglas	50.4%	27825	48.6%	26812	1.0%	560
Early	48.7%	2603	50.7%	2711	0.5%	29
Echols	16.9%	201	82.6%	981	0.5%	6
Effingham	24.3%	4936	74.9%	15230	0.9%	175
Elbert	40.4%	3366	58.4%	4868	1.2%	98
Emanuel	37.2%	3068	61.9%	5110	0.9%	74
Evans	35.6%	1374	63.8%	2462	0.5%	20
Fannin	24.5%	2611	73.4%	7807	2.1%	225
Fayette	34.2%	20313	64.8%	38501	1.1%	627
Floyd	31.1%	10691	67.4%	23132	1.5%	499
Forsyth	20.4%	15406	78.4%	59166	1.2%	931
Franklin	23.6%	1914	74.9%	6069	1.5%	120
Fulton	67.1%	272000	32.1%	130136	0.9%	3489
Gilmer	23.4%	2614	75.2%	8408	1.5%	164
Glascock	14.7%	210	84.2%	1202	1.1%	16
Glynn	37.9%	12676	61.3%	20479	0.7%	248
Gordon	24.2%	4268	74.3%	13113	1.6%	274
Grady	37.8%	3539	61.6%	5775	0.6%	57
Greene	42.2%	3339	57.2%	4532	0.6%	50
Gwinnett	44.3%	129025	54.6%	158746	1.1%	3167
Habersham	19.5%	2900	79.2%	11766	1.3%	193
Hall	24.0%	14457	74.8%	44962	1.2%	711
Hancock	81.3%	3535	18.3%	795	0.4%	18
Haralson	20.2%	2248	77.8%	8658	2.0%	224
Harris	28.0%	4184	71.2%	10648	0.8%	113
Hart	33.6%	3365	65.2%	6537	1.2%	122
Heard	24.6%	1042	74.0%	3133	1.3%	56
Henry	45.8%	40527	53.3%	47115	0.9%	762
Houston	39.4%	22094	59.6%	33392	1.0%	548
Irwin	31.2%	1197	67.8%	2605	1.0%	38
Jackson	21.5%	4950	77.2%	17776	1.3%	290
Jasper	32.7%	1935	66.2%	3916	1.0%	60
Jeff Davis	25.7%	1356	73.2%	3867	1.2%	63
Jefferson	57.3%	4149	42.3%	3061	0.3%	25
Jenkins	43.1%	1482	56.2%	1936	0.7%	24
Johnson	32.8%	1198	66.5%	2426	0.7%	26
Jones	36.7%	4572	62.5%	7782	0.9%	106
Lamar	35.7%	2752	63.2%	4873	1.0%	80
Lanier	36.9%	1062	62.0%	1787	1.1%	31
Laurens	38.9%	7769	60.4%	12052	0.7%	142
Lee	23.6%	3100	75.7%	9925	0.7%	87
Liberty	63.9%	10474	35.5%	5828	0.6%	98
Lincoln	37.3%	1650	61.7%	2731	1.0%	43
Long	37.2%	1288	61.2%	2119	1.5%	53
Lowndes	44.8%	17651	54.0%	21296	1.2%	465
Lumpkin	23.3%	2586	75.0%	8326	1.8%	196
McDuffie	42.2%	3989	57.1%	5400	0.7%	66
McIntosh	46.6%	2905	52.6%	3282	0.8%	49
Macon	65.2%	3251	34.3%	1712	0.4%	21
Madison	26.1%	2965	72.4%	8226	1.5%	174
Marion	43.3%	1381	55.6%	1772	1.1%	35
Meriwether	46.9%	4465	52.3%	4982	0.7%	71
Miller	29.9%	818	69.3%	1899	0.8%	23
Mitchell	47.6%	3872	51.7%	4201	0.7%	59
Monroe	33.8%	4106	65.3%	7933	0.9%	108
Montgomery	29.1%	1045	70.2%	2521	0.8%	27
Morgan	33.7%	3091	65.3%	5987	0.9%	87
