District	Incumbent	Party	First elected	Result	Candidates
Pennsylvania 1	Bob Brady	Democratic	1998	Re-elected	Bob Brady (D) unopposed
Pennsylvania 2	Chaka Fattah	Democratic	1994	Re-elected	Chaka Fattah (D) 89.3% Rick Hellberg (R) 10.7%
Pennsylvania 3	Kathy Dahlkemper	Democratic	2008	Lost re-election Republican gain	Mike Kelly (R) 55.7% Kathy Dahlkemper (D) 44.3%
Pennsylvania 4	Jason Altmire	Democratic	2006	Re-elected	Jason Altmire (D) 50.8% Keith Rothfuss (R) 49.2%
Pennsylvania 6	Jim Gerlach	Republican	2002	Re-elected	Jim Gerlach (R) 57.1% Manan Trivedi (D) 42.9%
Pennsylvania 9	Bill Shuster	Republican	2001	Re-elected	Bill Shuster (R) 73.1% Tom Conners (D) 26.9%
Pennsylvania 10	Chris Carney	Democratic	2006	Lost re-election Republican gain	Tom Marino (R) 55.2% Chris Carney (D) 44.8%
Pennsylvania 11	Paul Kanjorski	Democratic	1984	Lost re-election Republican gain	Lou Barletta (R) 54.7% Paul Kanjorski (D) 45.3%
Pennsylvania 12	Mark Critz	Democratic	2010	Re-elected	Mark Critz (D) 50.8% Tim Burns (R) 49.2%
Pennsylvania 13	Allyson Schwartz	Democratic	2004	Re-elected	Allyson Schwartz (D) 56.3% Dee Adcock (R) 43.7%
Pennsylvania 16	Joe Pitts	Republican	1996	Re-elected	Joe Pitts (R) 65.4% Lois Herr (D) 34.6%
Pennsylvania 17	Tim Holden	Democratic	1992	Re-elected	Tim Holden (D) 55.5% Dave Argall (R) 44.5%
