Contestant Name	Episode #	Date Premiered (2009)	Winning Amount	Eliminated Contestant
Kareena Kapoor	1	May 30	Rs.10,00,000	Karishma Kapoor
Daler Mehndi	2	June 6	Rs.10,00,000	Mika Singh
Darsheel Safary	3	June 13	Rs.1,00,000	Tanay Chheda
Katrina Kaif	4	June 20	Rs.10,00,000	Neil Nitin Mukesh
Vijendra Kumar	5	June 27	Rs. 1,00,000	Malika Sherawat
Sunny Deol	6	July 4	Rs. 1,00,000	Dharmendra
Kangana Ranaut	7	July 11	Rs. 1,00,000	Pandit Janardan
Shilpa Shetty	8	July 18	Rs. 1,00,000	Irfan Pathan
Sunil Mishra	9	July 25	Rs. 10,000	Priyanka Shukla
Farah Khan	10	August 1	Rs. 10,00,000	Deepika Padukone
Sanjay Dutt	11	August 8	Rs. 10,00,000	Jackie Shroff
Dutta Pangare (Dabba Wala)	12	August 15	Rs. 10,00,000	Meena Bhoir(Macchi Wali)
Kapil Dev	13	August 22	Rs. 1,00,000	Navjot Singh Sidhu
Ragini Khanna & Ratan Rajput	14	August 29	Rs. 10,00,000	Sara Khan & Tina Dutta
Sunil Shetty	15	September 5	Rs.10,00,000	Javed Jaffrey & Aftab Shivdasani
Rani Mukerjee	16	September 12	Rs. 1,00,000	Shahid Kapoor
Boney Kapoor & Sri Devi	17	September 19	Rs. 1,00,000	Prabhu Deva & Ayesha Takia Azmi
Ritesh Deshmukh	18	September 26	Rs. 10,00,000	Govinda & David Dhawan
Shatrughan Sinha	19	October 3	Rs. 10,000	Hema Malini
Himesh Reshammiya	20	October 10	Rs. 1,00,000	Sonal Sehgal & Shenaz Treasurywala
