Rank	Height	Name	Road number	Type
1	670 m	Cairnwell Pass	A93	Pass
2	644 m	The Lecht	A939	Pass
3	625 m	Bealach na Bà	unclassified	Pass
4	610 m	Cairn Gorm ski centre	unclassified	Dead end
5	555 m	Lochan na Lairige	unclasssified	Pass
6	550 m	Tom Dubh	A939	Pass
7	530 m	head of Glen Quaich	unclassified	Pass
8	480 m	The Strone	B976	Pass
9	475 m	Glen Kyllachy	unclassified	Pass
10	466 m	Glengonnar	B797	Pass
11	461 m	Guffock Hill	unclassified	Pass
12	460 m	Pass of Drumochter	A9	Pass
13	452 m	Megget Stone	unclassified	Pass
14	447 m	Cairn o' Mount	B974	Pass
15	443 m	North of Trinafour	unclassified	Pass
16	438 m	West of Bridge of Brown	A939	Pass
17	434 m	Redstone Rig	unclassified	Pass
18	433 m	shoulder of Shalloch on Minnoch	unclassified	Pass
19	419 m	Cabrach	A941	Pass
20=	418 m	Carter Bar	A68	Pass
20=	418 m	Spittal of Glenmuick	unclassified	Dead end
22	414 m	Loch Daimh	unclassified	Dead end
23	412 m	Flecket Hill (near Devil's Beeftub )	A701	Pass
24	406 m	Torfichen Hill	B7007	Pass
25	405 m	Slochd Summit	A9	Pass
26	400 m	Glen Cochill	A826	Pass
27	393 m	Carn an t-Suidhe	B862	Pass
28	390 m	Suie Hill	unclassified	Pass
