CERCLIS ID	Name	County	Partially deleted	Deleted
FLD980221857	Agrico Chemical Co.	Escambia	–	–
FLD004145140	Airco Plating Co.	Miami-Dade	–	–
FLD012978862	Alaric Area Groundwater Plume	Hillsborough	–	–
FLD041495441	Alpha Chemical Corp.	Polk	–	06/28/1995
FLD008161994	American Creosote Works (Pensacola Plt)	Escambia	–	–
FLD020536538	Anaconda Aluminum Co./Milgo Electronics	Miami-Dade	–	07/09/1998
FLD981014368	Anodyne, Inc.	Miami-Dade	–	–
FLSFN0406909	Arkla Terra Property	Polk	–	–
FLD004574190	B&B Chemical Co., Inc.	Miami-Dade	–	–
FLD980494660	Beulah Landfill	Escambia	–	06/22/1998
FLD052172954	BMI-Textron	Palm Beach	–	11/18/2002
FLD980847016	Brown's Dump	Duval	–	–
FLD980728935	Brown Wood Preserving	Suwannee	–	09/22/1995
FLD980709356	Cabot/Koppers	Alachua	–	–
FLD094590916	Callaway & Son Drum Service	Polk	–	08/04/2009
FLD981931959	Cascade Park Gasification Plant/Landfill	Leon	–	–
FL5170022474	Cecil Field Naval Air Station	Duval	05/21/2003	–
FLD080174402	Chemform, Inc.	Broward	–	07/28/2000
FLD004064242	Chevron Chemical Co. (Ortho Division)	Orange	–	–
FLD055945653	City Industries, Inc.	Orange	–	–
FLD991279894	Coleman-Evans Wood Preserving Co.	Duval	–	–
FLD001704741	Coronet Industries	Hillsborough	–	–
FLD980602288	Davie Landfill	Broward	–	08/21/2006
FLD000833368	Dubose Oil Products Co.	Escambia	–	10/01/2004
FLD008168346	Escambia Wood – Pensacola	Escambia	–	–
FLD083111005	Flash Cleaners	Broward	–	–
FLD984184127	Florida Petroleum Reprocessors	Broward	–	–
FLD050432251	Florida Steel Corp.	Martin	–	–
FLR000091322	General Dynamics Longwood	Seminole	–	–
FLD071307680	Gold Coast Oil Corp.	Miami-Dade	–	10/09/1996
FLD000602334	Harris Corp. (Palm Bay Plant)	Brevard	–	–
FLD053502696	Helena Chemical Co. (Tampa Plant)	Hillsborough	–	–
FLD980709802	Hipps Road Landfill	Duval	–	–
FLD004119681	Hollingsworth Solderless Terminal	Broward	–	–
FL7570024037	Homestead Air Force Base	Miami-Dade	–	–
FLD043047653	ITT Thompson Industries	Madison	–	–
FLSFN0407002	Jacksonville Ash	Duval	–	–
FL6170024412	Jacksonville Naval Air Station	Duval	–	–
FLN000410232	JJ Seifert Machine	Hillsborough	–	–
FLD980727820	Kassauf-Kimerling Battery Disposal	Hillsborough	–	10/02/2000
FLD039049101	Kerr-McGee Chemical Corp – Jacksonville	Duval	–	–
FLD042110841	Landia Chemical Company	Polk	–	–
FLD981019235	Madison County Sanitary Landfill	Madison	–	–
FLD076027820	Miami Drum Services	Miami-Dade	–	–
FLD088787585	MRI Corp (Tampa)	Hillsborough	–	–
FLD084535442	Munisport Landfill	Miami-Dade	–	02/21/1989
FL9170024567	Naval Air Station Pensacola	Escambia	–	–
FLD980709398	Nocatee-Hull Creosote	De Soto	–	–
FLD984229773	Normandy Park Apartments	Hillsborough	–	–
FLD980602643	Northwest 58th Street Landfill	Miami-Dade	–	10/11/1996
FLD984169235	Orlando Former Gasification Plant	Orange	–	–
FLD041140344	Parramore Surplus	Gadsen	–	02/21/1989
