Tournament	1990	1991	1992	1993	1994	1995	1996	1997	1998	Career SR
Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams
Australian Open	A	W	SF	2R	1R	2R	1R	A	A	1 / 9
French Open	1R	1R	1R	3R	QF	2R	A	A	A	0 / 8
Wimbledon	2R	3R	QF	2R	2R	2R	A	A	A	0 / 10
U.S. Open	1R	F	3R	1R	2R	1R	A	A	A	0 / 14
Grand Slam SR	0 / 3	1 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 1	0 / 0	0 / 0	1 / 41
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells	QF	QF	2R	2R	1R	A	A	A	A	0 / 5
Miami	3R	QF	2R	1R	1R	2R	1R	A	A	0 / 7
Monte Carlo	A	A	A	A	A	A	A	A	A	0 / 0
Rome	A	A	A	A	A	A	A	A	A	0 / 0
Hamburg	A	A	2R	A	A	A	A	A	A	0 / 1
Canada	QF	QF	A	F	1R	1R	A	A	A	0 / 5
Cincinnati	1R	SF	QF	QF	A	A	A	A	A	0 / 4
Madrid (Stuttgart)	SF	2R	1R	1R	A	A	A	A	A	0 / 4
Paris	W	2R	A	1R	A	A	A	A	A	1 / 3
Masters Series SR	1 / 6	0 / 6	0 / 5	0 / 6	0 / 3	0 / 2	0 / 1	0 / 0	0 / 0	1 / 29
Year End Ranking	6	3	81	48	93	132	214	1289	721	N/A
