Outcome	Date	Location	Surface	Opponent in final	Score
Winner	3 September 2000	Jaipur , India	Grass	Manisha Malhotra	6–2 2–6 6–3
Winner	9 March 2003	Australia Circuit Week 1	Grass	Lauren Breadmore	6–2 4–6 6–3
Winner	9 March 2003	Australia Circuit Week 3	Grass	Chan Chin-Wei	6–3 7–6 (7–4)
Winner	17 August 2003	Oulu , Finland	Clay	Kateryna Bondarenko	6–3 6–4
Runner-up	19 March 2006	Canberra , Australia	Clay	Jarmila Gajdošová	6–7 (5–7) 2–6
Runner-up	20 May 2006	Tenerife , Spain	Hard	Andrea Hlaváčková	6–3 3–6 3–6
Runner-up	9 July 2006	Valladolid , Spain	Hard	Estrella Cabeza Candela	6–2 6–7 (3–7) 5–7
Runner-up	18 November 2007	Nuriootpa , Australia	Hard	Irena Pavlovic	2–6 7–5 4–6
Winner	14 September 2008	Rockhampton , Australia	Hard	Jarmila Gajdošová	4–6 6–2 7–6 (7–4)
Winner	24 May 2009	Santos, Brazil	Clay	Aranza Salut	6–2 6–1
Winner	25 July 2009	Kharkiv , Ukraine	Clay	Tereza Mrdeza	5–7 6–1 6–4
Winner	21 March 2010	Irapuato , Mexico	Hard	Misaki Doi	7–6 (7–5) 2–6 6–2
Runner-up	09-May-2011	Kurume , Japan	Grass	Rika Fujiwara	3–6, 1–6
Runner-up	16 October 2011	Kalgoorlie , Australia	Hard	Casey Dellacqua	2–6, 2–6
Runner-up	13 May 2012	Fukuoka , Japan	Grass	Casey Dellacqua	4–6, 1–6
Runner-up	May 14, 2012	Fukuoka , Japan	Grass	Saisai Zheng	5–7, 2–6
Runner-up	15-Oct-2012	Makinohara , Japan	Grass	Alexa Glatch	3–6, 4–6
Runner-up	22-Oct-2012	Hamamatsu , Japan	Grass	Alexa Glatch	2–6, 3–6
Runner-up	2 February 2013	Burnie , Australia	Hard	Olivia Rogowska	6–7, 7–6, 4–6
