Date	Tournament	Winning score	Margin of victory	Runner(s)-up
22 Apr 1990	KMart Greater Greensboro Open	–6 (74-71-71-66=282)	2 strokes	Mike Reid , Jeff Sluman
31 Mar 1991	The Players Championship	–12 (66-70-72-68=276)	1 stroke	Fuzzy Zoeller
12 Jan 1992	Infiniti Tournament of Champions	–9 (69-71-67-72=279)	Playoff	Brad Faxon
2 Oct 1994	Buick Southern Open	–16 (66-66-68=200)	5 strokes	Steve Rintoul
8 Jan 1995	Mercedes Championships	–10 (69-71-71-67=278)	Playoff	Bruce Lietzke
13 Aug 1995	PGA Championship	–17 (68-67-68-64=267)	Playoff	Colin Montgomerie
9 Mar 1997	Doral-Ryder Open	–13 (70-66-70-69=275)	2 strokes	Larry Nelson , Nick Price
30 Mar 1997	The Players Championship	–16 (66-69-68-69=272)	7 strokes	Scott Hoch
10 Oct 1998	Buick Challenge	–21 (66-70-66-65=267)	Playoff	Fred Funk
7 Mar 1999	Doral-Ryder Open	–13 (72-70-69-64=275)	1 stroke	Greg Kraft
