Mission No.	Cover Name	Launch Date	NSSDC ID No.	Alt. Name	Camera	Notes
R&D	Discoverer	21 Jan 1959	1959-E01	1959-E01	none	Mission Failed. Failed to achieve orbit
R&D	Discoverer 1	28 Feb 1959	1959-002A	1959 BET	none	First object in polar orbit
R&D	Discoverer 3	03 Jun 1959	DISCOV3	1959-F02	none	Mission failed. Failed to achieve orbit
9001	Discoverer 4	25 Jun 1959	DISC4	1959-U01	KH-1	Mission failed. Failed to achieve orbit.
9002	Discoverer 5	13 Aug 1959	1959-005A	1959 EPS 1	KH-1	Mission failed. Power supply failure. No recovery.
9004	Discoverer 7	07 Nov 1959	1959-010A	1959 KAP	KH-1	Mission failed. Failed to achieve orbit.
9005	Discoverer 8	20 Nov 1959	1959-011A	1959 LAM	KH-1	Mission failed. Eccentric orbit negating recovery.
9006	Discoverer 9	04 Feb 1960	DiSC9	1960-F01	KH-1	Mission failed. Failed to achieve orbit.
R&D	Discoverer 12	29 Jun 1960	DISC12	1960-F08	none	Failed to orbit
RM-1	Discoverer 19	20 Dec 1960	1960-019A	1960 TAU	none	Test of Midas missile-detection system
9014A	Discoverer 20	17 Feb 1961	1961-005A	1961 EPS 1	KH-5	See KH-5
RM-2	Discoverer 21	18 Feb 1961	1961-006A	1961 ZET	none	Test of restartable rocket engine
9016A	Discoverer 23	08 Apr 1961	1961-011A	1961 LAM 1	KH-5	See KH-5
9018A	Discoverer 24	16 Jun 1961	DISC24	1961-F05	KH-5	See KH-5
9019	Discoverer 26	07 Jul 1961	1961-016A	1961 PI	KH-2	Main camera malfunctioned on pass 22.
9020A	Discoverer 27	21 Jul 1961	DISC27	1961-F07	KH-5	See KH-5
9030	Discoverer 37	13 Jan 1962	DISC37	1962-F01	KH-3	Mission failed. No orbit.
9032	Discoverer 39	18 Apr 1962	1962-011A	1962 LAM 1	KH-4	Best mission to date.
9034A	FTV 1126	15 May 1962	1962-018A	1962 SIG 1	KH-5	See KH-5
9035	FTV 1128	30 May 1962	1962-021A	1962 PHI 1	KH-4	Slight corona static on film.
9037	FTV 1129	23 Jun 1962	1962-026A	1962 A BET	KH-4	Corona static occurs on some film.
9038	FTV 1151	28 Jun 1962	1962-027A	1962 A GAM	KH-4	Severe corona static.
9041	FTV 1152	02 Aug 1962	1962-034A	1962 A KAP 1	KH-4	Severe corona and radiation fog.
9042A	FTV 1132	01 Sep 1962	1962-044A	1962 A UPS	KH-5	See KH-5
9044	FTV 1153	29 Aug 1962	1962-042A	1962 A SIG	KH-4	Erratic vehicle attitude. Radiation fog minimal.
9045	FTV 1154	29 Sep 1962	1962-050A	1962 B BET	KH-4	First use of stellar camera
9046A	FTV 1134	09 Oct 1962	1962-053A	1962 B EPS	KH-5	See KH-5
9047	FTV 1136	05 Nov 1962	1962-063A	1962 B OMI	KH-4	Camera door malfunctioned
9048	FTV 1135	24 Nov 1962	1962-065A	1962 B RHO	KH-4	Some film exposed through base.
9049	FTV 1155	04 Dec 1962	1962-066A	1962 B SIG	KH-4	Mission failed. During air catch chute tore
9050	FTV 1156	14 Dec 1962	1962-069A	1962 B PHI	KH-4	Best mission to date.
9052	OPS 0583	28 Feb 1963	1963-F02	1963-F02	KH-4	Mission failed. Destroyed by range safety officer
9053	OPS 0720	01 Apr 1963	1963-007A	1963-007A	KH-4	Best imagery to date.
9054	OPS 0954	12 Jun 1963	1963-019A	1963-019A	KH-4	Some imagery seriously affected by corona.
9055A	OPS 1008	26 Apr 1963	1963-F07	1963-F07	KH-5	See KH-5
9057	OPS 1266	19 Jul 1963	1963-029A	1963-029A	KH-4	Best mission to date.
9058A	OPS 1561	29 Aug 1963	1963-035A	1963-035A	KH-5	See KH-5
9059A	OPS 2437	29 Oct 1963	1963-042A	1963-042A	KH-5	See KH-5
9060	OPS 2268	09 Nov 1963	1963-F14	1963-F14	KH-4	Mission failed. No orbit.
9062	OPS 1388	21 Dec 1963	1963-055A	1963-055A	KH-4	Corona static fogged much of film.
9065A	OPS 2739	21 Aug 1964	1964-048A	1964-048A	KH-5	See KH-5
9066A	OPS 3236	13 Jun 1964	1964-030A	1964-030A	KH-5	See KH-5
1002	OPS 1353	23 Sep 1963	1963-037A	1963-037A	KH-4A	Severe light leaks
1003	OPS 3467	24 Mar 1964	1964-F04	1964-F04	KH-4A	Mission failed. Guidance system failed. No orbit.
1007	OPS 3754	19 Jun 1964	1964-032A	1964-032A	KH-4A	Out-of-focus area on some film.
1008	OPS 3491	10 Jun 1964	1964-037A	1964-037A	KH-4A	Cameras operated satisfactorily
1009	OPS 3042	05 Aug 1964	1964-043A	1964-043A	KH-4A	Cameras operated successfully.
1014	OPS 3360	18 Nov 1964	1964-075A	1964-075A	KH-4A	Cameras operated successfully.
1021	OPS 8431	18 May 1965	1965-037A	1965-037A	KH-4A	Aft camera ceased operation on pass 102.
1022	OPS 5543	19 Jun 1965	1965-057A	1965-057A	KH-4A	All cameras operated satisfactorily.
1025	OPS 5325	05 Oct 1965	1965-079A	1965-079A	KH-4A	Main cameras operated satisfactorily.
1026	OPS 2155	28 Oct 1965	1965-086A	1965-086A	KH-4A	All cameras operated satisfactorily.
1028	OPS 4639	24 Dec 1965	1965-110A	1965-110A	KH-4A	Cameras operated satisfactorily.
1030	OPS 3488	09 Mar 1966	1966-018A	1966-018A	KH-4A	All cameras operated satisfactorily.
1032	OPS 1508	3 May 1966	1966-F05A	1966-F05	KH-4A	Mission failed. Vehicle failed to achieve orbit.
1036	OPS 1545	09 Aug 1966	1966-072A	1966-072A	KH-4A	All cameras operated satisfactorily.
1038	OPS 1664	14 Jan 1967	1967-002A	1967-002A	KH-4A	Fair image quality.
1040	OPS 4779	30 Mar 1967	1967-029A	1967-029A	KH-4A	Satellite flown nose first.
