Coach	First Yr	Last Yr	W-L%	G > .500	Yr plyf	G plyf	W plyf	L plyf
Faye Abbott	1928	1929	.000	-13	0	0	0	0
Frankie Albert	1956	1958	.543	3	1	1	0	1
Joe Alexander	1922	1926	.500	0	0	0	0	0
George Allen	1966	1977	.712	69	7	9	2	7
Hunk Anderson	1942	1945	.676	12	2	2	1	1
Roy Andrews	1924	1931	.654	24	0	0	0	0
Johnny Armstrong	1924	1924	.714	3	0	0	0	0
Neill Armstrong	1978	1981	.469	-4	1	1	0	1
Bill Arnsparger	1974	1976	.200	-21	0	0	0	0
Bill Austin	1966	1970	.321	-19	0	0	0	0
Joe Bach	1935	1953	.438	-6	0	0	0	0
Herman Ball	1949	1951	.200	-12	0	0	0	0
Shorty Barr	1926	1926	.333	-1	0	0	0	0
Norm Barry	1925	1926	.667	8	0	0	0	0
Jim Bates	2004	2004	.429	-1	0	0	0	0
Dim Batterson	1927	1927	.000	-5	0	0	0	0
Cliff Battles	1946	1947	.200	-12	0	0	0	0
Sammy Baugh	1960	1964	.429	-6	0	0	0	0
Bull Behman	1929	1931	.394	-7	0	0	0	0
Bill Belichick	1991	2012	.649	86	11	24	17	7
Bert Bell	1936	1941	.179	-36	0	0	0	0
Phil Bengtson	1968	1972	.457	-4	0	0	0	0
Leeman Bennett	1977	1986	.420	-19	3	4	1	3
Dutch Bergman	1943	1943	.667	3	1	2	1	1
Raymond Berry	1984	1989	.552	9	2	5	3	2
Punk Berryman	1924	1926	.583	4	0	0	0	0
Tom Bettis	1977	1977	.143	-5	0	0	0	0
Hugo Bezdek	1937	1938	.071	-12	0	0	0	0
Scotty Bierce	1925	1925	.667	2	0	0	0	0
Ed Biles	1981	1983	.258	-15	0	0	0	0
Brian Billick	1999	2007	.556	16	4	8	5	3
Lisle Blackbourn	1954	1957	.354	-14	0	0	0	0
Pat Boland	1946	1946	.400	-1	0	0	0	0
Joe Brandy	1924	1924	.000	-6	0	0	0	0
Wayne Brenkert	1923	1924	.300	-4	0	0	0	0
Untz Brewer	1922	1922	.375	-2	0	0	0	0
Charlie Brickley	1921	1921	.000	-2	0	0	0	0
Frank Bridges	1944	1944	.000	-5	0	0	0	0
Marty Brill	1931	1931	.500	0	0	0	0	0
Rich Brooks	1995	1996	.406	-6	0	0	0	0
Paul Brown	1946	1975	.672	109	15	17	9	8
Fred Bruney	1985	1985	1.000	1	0	0	0	0
Johnny Bryan	1925	1926	.133	-11	0	0	0	0
Joe Bugel	1990	1997	.300	-32	0	0	0	0
Hank Bullough	1978	1986	.182	-14	0	0	0	0
Jerry Burns	1986	1991	.547	9	3	6	3	3
Tom Cable	2008	2010	.386	-10	0	0	0	0
Jim Caldwell	2009	2011	.542	4	2	4	2	2
Bill Callahan	2002	2003	.469	-2	1	3	2	1
Cam Cameron	2007	2007	.063	-14	0	0	0	0
Hugh Campbell	1984	1985	.267	-14	0	0	0	0
Marion Campbell	1974	1989	.298	-46	0	0	0	0
Dave Campo	2000	2002	.313	-18	0	0	0	0
Dom Capers	1995	2005	.375	-32	1	2	1	1
Pete Carroll	1994	2012	.518	4	4	5	2	3
Bud Carson	1989	1990	.458	-2	1	2	1	1
Eddie Casey	1935	1935	.200	-6	0	0	0	0
Pete Cawthon	1943	1944	.133	-11	0	0	0	0
Guy Chamberlin +	1922	1927	.784	42	0	0	0	0
Coonie Checkaye	1921	1921	.000	-2	0	0	0	0
Jack Chevigny	1932	1932	.250	-4	0	0	0	0
Brad Childress	2006	2010	.527	4	2	3	1	2
Algy Clark	1934	1934	.000	-8	0	0	0	0
Dutch Clark +	1937	1942	.469	-4	0	0	0	0
Monte Clark	1976	1984	.432	-16	2	2	0	2
Potsy Clark	1931	1940	.604	22	1	1	1	0
Stan Cofall	1920	1920	.000	-2	0	0	0	0
Blanton Collier	1963	1970	.691	42	5	7	3	4
Joe Collier	1966	1968	.448	-3	1	1	0	1
Red Conkright	1962	1962	.111	-7	0	0	0	0
Jimmy Conzelman +	1921	1948	.580	24	2	2	1	1
Al Cornsweet	1931	1931	.200	-6	0	0	0	0
Don Coryell	1973	1986	.572	28	6	9	3	6
Bruce Coslet	1990	2000	.379	-30	1	1	0	1
Frank Coughlin	1921	1921	.000	-1	0	0	0	0
Tom Coughlin	1995	2012	.555	30	9	19	12	7
Bill Cowher	1992	2006	.623	59	10	21	12	9
Milan Creighton	1935	1938	.381	-10	0	0	0	0
Romeo Crennel	2005	2012	.337	-27	0	0	0	0
Clem Crowe	1949	1950	.294	-7	1	1	0	1
Jim Crowley	1947	1947	.000	-10	0	0	0	0
Gunther Cunningham	1999	2000	.500	0	0	0	0	0
Russ Daugherty	1927	1927	.500	0	0	0	0	0
Al Davis	1963	1965	.590	7	0	0	0	0
Butch Davis	2001	2004	.414	-10	1	1	0	1
Red Dawson	1946	1949	.432	-6	1	2	1	1
Dudley DeGroot	1944	1947	.619	10	1	1	0	1
Jack Del Rio	2003	2012	.489	-3	2	3	1	2
Herb Dell	1922	1922	.000	-8	0	0	0	0
Jack Depler	1929	1931	.364	-9	0	0	0	0
Dan Devine	1971	1974	.481	-2	1	1	0	1
Hugh Devore	1953	1957	.280	-11	0	0	0	0
Lone Star Dietz	1933	1934	.500	0	0	0	0	0
Luby DiMeolo	1934	1934	.167	-8	0	0	0	0
Mike Ditka +	1982	1999	.560	26	7	12	6	6
Mel Doherty	1921	1921	.250	-2	0	0	0	0
Aldo Donelli	1941	1944	.267	-7	0	0	0	0
Jim Dooley	1968	1971	.357	-16	0	0	0	0
Gus Dorais	1943	1947	.392	-11	0	0	0	0
Jap Douds	1933	1933	.333	-3	0	0	0	0
Bob Dove	1946	1946	.500	0	0	0	0	0
Rod Dowhower	1985	1986	.172	-19	0	0	0	0
Paddy Driscoll +	1920	1957	.646	14	1	1	0	1
Walt Driskill	1949	1949	.125	-6	0	0	0	0
Chuck Drulis	1961	1961	1.000	2	0	0	0	0
Tony Dungy	1996	2008	.668	70	11	19	9	10
Bill Edwards	1941	1942	.308	-5	0	0	0	0
Cap Edwards	1921	1925	.542	2	0	0	0	0
Herman Edwards	2001	2008	.422	-20	4	6	2	4
Turk Edwards +	1946	1948	.471	-2	6	5	12	4
Eddie Erdelatz	1960	1961	.375	-4	0	0	0	0
Ron Erhardt	1978	1981	.429	-7	0	0	0	0
Dennis Erickson	1995	2004	.417	-16	0	0	0	0
Hal Erickson	1924	1924	.385	-3	0	0	0	0
Charley Ewart	1949	1949	.091	-9	0	0	0	0
Weeb Ewbank	1954	1973	.502	1	4	5	4	1
Chuck Fairbanks	1973	1978	.541	7	2	2	0	2
Guil Falcon	1920	1923	.500	0	0	0	0	0
Jim Fassel	1997	2003	.523	5	3	5	2	3
Jack Faulkner	1962	1964	.290	-13	0	0	0	0
Frank Fausch	1921	1922	.375	-2	0	0	0	0
Tom Fears +	1967	1970	.277	-21	0	0	0	0
Marty Feldman	1961	1962	.118	-13	0	0	0	0
Perry Fewell	2009	2009	.429	-1	0	0	0	0
Frank Filchock	1960	1961	.259	-13	0	0	0	0
Jack Fish	1930	1930	.200	-3	0	0	0	0
Jeff Fisher	1994	2012	.539	22	6	11	5	6
Ray Flaherty +	1936	1949	.684	43	6	6	2	4
Tom Flores	1979	1994	.527	10	5	11	8	3
Bob Folwell	1925	1925	.667	4	0	0	0	0
Wayne Fontes	1988	1996	.496	-1	4	5	1	4
Jack Forsyth	1920	1921	.571	2	0	0	0	0
Rick Forzano	1974	1976	.469	-2	0	0	0	0
John Fox	2002	2012	.534	12	5	10	6	4
Benny Friedman +	1930	1932	.357	-4	0	0	0	0
Chan Gailey	1998	2012	.425	-12	2	2	0	2
Frank Gansz	1987	1988	.267	-14	0	0	0	0
Budge Garrett	1922	1922	.667	1	0	0	0	0
Mike Getto	1942	1942	.273	-5	0	0	0	0
Joe Gibbs	1981	2007	.621	60	10	24	17	7
Abe Gibron	1972	1974	.268	-19	0	0	0	0
George Gibson	1930	1930	.231	-7	0	0	0	0
Kevin Gilbride	1997	1998	.273	-10	0	0	0	0
Fred Gillies	1928	1928	.167	-4	0	0	0	0
Sid Gillman	1955	1974	.552	23	6	6	1	5
Hank Gillo	1920	1920	.286	-3	0	0	0	0
Harry Gilmer	1965	1966	.385	-6	0	0	0	0
Jerry Glanville	1985	1993	.465	-9	4	7	3	4
Archie Golembeski	1925	1925	.545	1	0	0	0	0
Otto Graham +	1966	1968	.436	-5	0	0	0	0
Bud Grant	1967	1985	.622	62	12	22	10	12
Dennis Green	1992	2006	.546	19	8	12	4	8
Forrest Gregg +	1975	1987	.469	-10	2	4	2	2
Hal Griffen	1930	1930	.455	-1	0	0	0	0
Tex Grigg	1925	1925	.000	-6	0	0	0	0
Al Groh	2000	2000	.563	2	0	0	0	0
Jon Gruden	1998	2008	.540	14	5	9	5	4
Hinkey Haines	1931	1931	.250	-2	0	0	0	0
George Halas +	1920	1967	.682	170	8	9	6	3
Todd Haley	2009	2011	.422	-7	1	1	0	1
Phil Handler	1943	1951	.105	-30	0	0	0	0
Ray Handley	1991	1992	.438	-4	0	0	0	0
Jim Hanifan	1980	1989	.424	-14	1	1	0	1
Bo Hanley	1924	1924	.000	-4	0	0	0	0
Dick Hanley	1946	1946	.500	0	0	0	0	0
Hal Hanson	1932	1932	.222	-5	0	0	0	0
John Harbaugh	2008	2012	.675	28	5	9	9	4
Jim Haslett	2000	2008	.435	-14	1	2	1	1
Norb Hecker	1966	1968	.133	-22	0	0	0	0
Ernie Hefferle	1975	1975	.125	-6	0	0	0	0
Jack Hegarty	1921	1921	.333	-1	0	0	0	0
Mel Hein +	1947	1947	.667	1	0	0	0	0
Jack Heldt	1926	1926	.143	-5	0	0	0	0
Gus Henderson	1939	1939	.545	1	0	0	0	0
Dutch Hendrian	1923	1923	.000	-5	0	0	0	0
Dan Henning	1983	1991	.342	-35	0	0	0	0
Pete Henry +	1926	1928	.150	-14	0	0	0	0
Wally Hess	1922	1924	.200	-9	0	0	0	0
Red Hickey	1959	1963	.500	0	0	0	0	0
Max Hicks	1921	1921	.250	-2	0	0	0	0
Austin Higgins	1921	1921	.000	-2	0	0	0	0
Bob Hollway	1971	1972	.308	-10	0	0	0	0
Mike Holmgren	1992	2008	.592	50	12	24	13	11
Mike Holovak	1961	1976	.525	5	1	2	1	1
Lou Holtz	1976	1976	.231	-7	0	0	0	0
Arnie Horween	1923	1924	.619	5	0	0	0	0
Jim Lee Howell	1954	1960	.663	26	3	4	2	2
Tommy Hudspeth	1976	1977	.458	-2	0	0	0	0
Ken Huffine	1920	1920	.000	-1	0	0	0	0
Ed Hughes	1971	1971	.308	-5	0	0	0	0
Tommy Hughitt	1920	1924	.694	19	0	0	0	0
Hal Hunter	1984	1984	.000	-1	0	0	0	0
Tut Imlay	1926	1926	.667	3	0	0	0	0
Lindy Infante	1988	1997	.375	-24	1	1	0	1
Cecil Isbell	1947	1951	.303	-13	1	1	0	1
Pop Ivy	1958	1963	.432	-10	1	1	0	1
Dick Jauron	1999	2009	.423	-22	1	1	0	1
Herb Joesting	1929	1929	.100	-8	0	0	0	0
Bill Johnson	1976	1978	.545	3	0	0	0	0
Harvey Johnson	1968	1971	.080	-21	0	0	0	0
Jimmy Johnson	1989	1999	.556	16	6	13	9	4
Luke Johnsos	1942	1945	.676	12	2	2	1	1
Al Jolley	1929	1933	.091	-9	0	0	0	0
June Jones	1994	1998	.379	-14	1	1	0	1
Ralph Jones	1930	1932	.706	14	0	0	0	0
Bull Karcis	1942	1942	.000	-8	0	0	0	0
Jim Kendrick	1923	1926	.364	-3	0	0	0	0
Jack Keogh	1926	1926	.300	-4	0	0	0	0
Ed Khayat	1971	1972	.348	-7	0	0	0	0
Walt Kiesling +	1939	1956	.353	-25	0	0	0	0
Lane Kiffin	2007	2008	.250	-10	0	0	0	0
Chuck Knox	1973	1994	.559	39	11	18	7	11
Herb Kopf	1944	1946	.241	-15	0	0	0	0
Walt Koppisch	1925	1925	.143	-5	0	0	0	0
Ollie Kraehe	1923	1923	.200	-3	0	0	0	0
Ed Kubale	1944	1944	.000	-5	0	0	0	0
Gary Kubiak	2006	2012	.527	6	2	2	1	1
Joe Kuharich	1952	1968	.417	-23	0	0	0	0
Hank Kuhlmann	1989	1989	.000	-5	0	0	0	0
Frank Kush	1982	1984	.282	-17	0	0	0	0
Jim Laird	1926	1926	.417	-2	0	0	0	0
Curly Lambeau +	1921	1953	.631	94	5	5	3	2
Tom Landry +	1960	1988	.607	88	18	36	20	16
Dick LeBeau	2000	2002	.267	-21	0	0	0	0
Wally Lemm	1961	1970	.500	0	3	3	1	2
Jim Leonard	1945	1945	.200	-6	0	0	0	0
Marv Levy	1978	1997	.561	31	8	19	11	8
Art Lewis	1938	1938	.500	0	0	0	0	0
Marvin Lewis	2003	2012	.496	-1	4	3	0	3
