Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Barry RFC	22	21	0	1	811	157	109	16	16	1	101
Senghenydd RFC	22	20	1	1	1013	148	150	19	17	1	100
Blackwood Stars RFC	22	16	3	3	622	337	94	41	14	0	84
Penygraig RFC	22	16	0	6	595	296	88	37	13	0	77
Deri RFC	22	10	1	11	548	583	80	72	9	0	51
Cefn Coed RFC	22	9	1	12	338	445	45	55	3	4	45
Old Penarthians RFC	22	7	2	13	329	523	35	74	3	3	38
Cilfynydd RFC	22	8	0	14	268	590	32	78	1	2	35
St. Albans RFC	22	6	0	16	258	739	31	107	1	6	31
Cowbridge RFC	22	6	1	15	309	636	36	96	3	1	30
Canton RFC	22	4	1	17	305	581	38	84	2	2	22
Dinas Powys RFC	22	3	2	17	224	585	25	84	0	5	21
