No.	Player	Date of Birth	Batting Style	Bowling Style	First Class Team
51.	Mohammad Azharuddin (captain)	8 February 1963	Right hand bat	Right arm medium	Hyderabad Derbyshire
111.	Ajit Agarkar	4 December 1977	Right hand bat	Right arm fast-medium	Bombay
95.	Rahul Dravid	11 January 1973	Right hand bat	Right arm off break	Karnataka
84.	Sourav Ganguly	8 July 1972	Left hand bat	Right arm medium	Bengal
85.	Ajay Jadeja	1 February 1971	Right hand bat	Right arm medium	Haryana
98.	Sunil Joshi	6 June 1970	Left hand bat	Left arm orthodox spin	Karnataka
78.	Anil Kumble	17 October 1970	Right hand bat	Right arm leg break Googly	Karnataka
112.	V. V. S. Laxman	1 November 1974	Right hand bat	Right arm off break	Hyderabad
88.	Nayan Mongia (wicket-keeper)	19 December 1969	Right hand bat	Wicket-keeper	Baroda
89.	Venkatesh Prasad	5 August 1969	Right hand bat	Right arm medium-fast	Karnataka
71.	Robin Singh	14 September 1963	Left hand bat	Right arm medium-fast	Tamil Nadu
81.	Javagal Srinath	31 August 1969	Right hand bat	Right arm fast-medium	Karnataka
74.	Sachin Tendulkar	24 April 1973	Right hand bat	Right arm off break Right arm leg break Googly	Bombay
