Name	Aperture m	Aper. in	Mirror/type	Nationality/Sponsors	Site	Built/Used
Hopkins Ultraviolet Telescope	90cm	35.4″	Single UV	USA	STS , Earth Orbit	1990, 1995
Ruisinger	76.2cm	30″	Single-Newtonian	USA (ASKC)	Louisburg , Kansas - Powell Obs.	1985
Infrared Space Observatory	60cm	23.5″	IR (2.4-240 μm )	European Space Agency	Earth orbit ( GEO )	1995-1998
IRAS	57cm	22.44″	R/C IR	US + UK + The Netherlands	Earth orbit	1983
Mons Telescope	50cm	19.7″	Single	Belgium	Teide Observatory , Tenerife (Spain)	1972
Dutch Open Telescope (DOT)	45cm	17.7″	Solar	Denmark	ORM , Canary Islands	1997
Explorer 57 (IUE)	45cm	17.7″	Single UV	US+UK+ESA Countries	Earth orbit ( GEO )	1978–1996
Glazar UV telescope	40cm	15.75″	Single UV	CCCP	Kvant-1 ( Mir ), Earth Orbit	1987-2001
Glazar 2 UV telescope	40cm	15.75″	Single UV	CCCP + Switzerland	Kristall ( Mir ), Earth Orbit	1990-2001
Mars Global Surveyor —MOC	35cm	13.8″	R/C	USA	Mars Orbit	1996–2006
XMM-Newton —UV camera	30cm	11.9″	Single UV	ESA Countries	Earth orbit	1998
TRACE	30cm	11.9″	Single EUV/UV/Vis	NASA	Earth orbit	1998-2010
Hipparcos	29cm	11.4″	Schmidt	European Space Agency	Earth orbit ( GTO )	1989–1993
Astronomical Netherlands Satellite	22cm	8.7″	Single UV	Nederlands & USA	Earth Orbit	1974-1976
Galileo - Solid State Imager	17.65cm	6.95″	Reflector	USA	Jupiter	1989-2003
Voyager 1 / 2 , ISS-NAC	17.6cm	6.92″	Catadioptric	USA	Space	1977
Spacelab IRT	15.2cm	6″	IR (1.7-118 μm)	ESA + NASA	STS , Earth Orbit	1985
Mariner 10 - TV Photo. (x2)	15cm	5.9″	Reflector	USA	Space	1973-1975
Deep Space 1 —MICAS	10cm	3.94″	Single	USA	Solar Orbit	1998-2001
Far Ultraviolet Camera/Spectrograph	7.62cm	3″	Schmidt UV	USA	Lunar surface	1972
