District	Incumbent	Party	First elected	Result	Candidates
Texas 1	Wright Patman	Democratic	1928	Re-elected	Wright Patman (D) 68.6% James W. Farris (R) 31.4%
Texas 2	Charles Wilson	Democratic	1972	Re-elected	Charles Wilson (D) Unopposed
Texas 3	James M. Collins	Republican	1968	Re-elected	James M. Collins (R) 64.7% Harold Collum (D) 35.3%
Texas 4	Ray Roberts	Democratic	1962	Re-elected	Ray Roberts (D) 74.9% Dick LeTourneau (R) 25.1%
Texas 5	Alan Steelman	Republican	1972	Re-elected	Alan Steelman (R) 52.1% Mike McKool (D) 47.9%
Texas 6	Olin E. Teague	Democratic	1946	Re-elected	Olin E. Teague (D) 83.0% Carl Nigliazzo (R) 17.0%
Texas 10	J. J. Pickle	Democratic	1963	Re-elected	J. J. Pickle (D) 80.4% Paul A. Weiss (R) 19.6%
Texas 12	Jim Wright	Democratic	1954	Re-elected	Jim Wright (D) 78.7% James S. Garvey (R) 21.3%
Texas 13	Bob Price	Republican	1966	Lost re-election Democratic gain	Jack Hightower (D) 57.6% Bob Price (R) 42.4%
Texas 14	John Andrew Young	Democratic	1956	Re-elected	John Andrew Young (D) Unopposed
Texas 15	Kika de la Garza	Democratic	1964	Re-elected	Kika de la Garza (D) Unopposed
Texas 16	Richard C. White	Democratic	1964	Re-elected	Richard C. White (D) Unopposed
Texas 17	Omar Burleson	Democratic	1946	Re-elected	Omar Burleson (D) Unopposed
Texas 19	George H. Mahon	Democratic	1934	Re-elected	George H. Mahon (D) Unopposed
Texas 20	Henry B. Gonzalez	Democratic	1961	Re-elected	Henry B. Gonzalez (D) Unopposed
