Nation	Gold	Silver	Bronze	Total
Russia	6	4	7	17
Ukraine	5	6	4	15
Kazakhstan	4	0	1	5
Belarus	3	2	0	5
China	2	2	2	6
Germany	2	2	1	5
Australia	2	2	0	4
Turkey	2	1	1	4
Morocco	2	1	0	3
Thailand	2	1	0	3
Finland	2	0	0	2
Poland	1	2	3	6
South Africa	1	2	1	4
Great Britain	1	1	2	4
Latvia	1	1	1	3
Egypt	1	1	0	2
South Korea	1	1	0	2
North Korea	1	0	2	3
Cuba	1	0	1	2
Lithuania	1	0	1	2
Algeria	1	0	0	1
Austria	1	0	0	1
Bulgaria	1	0	0	1
Iran	1	0	0	1
Portugal	1	0	0	1
Japan	0	3	3	6
Belgium	0	2	1	3
Brazil	0	1	3	4
Uganda	0	1	1	2
Chinese Taipei	0	1	1	2
Italy	0	1	1	2
Croatia	0	1	0	1
Cyprus	0	1	0	1
Ireland	0	1	0	1
Kenya	0	1	0	1
Mozambique	0	1	0	1
Romania	0	1	0	1
Slovakia	0	1	0	1
Spain	0	1	0	1
Czech Republic	0	0	2	2
Canada	0	0	1	1
Estonia	0	0	1	1
Greece	0	0	1	1
Moldova	0	0	1	1
Puerto Rico	0	0	1	1
Serbia	0	0	1	1
Switzerland	0	0	1	1
Total	46	46	46	138
