Institution	Location - City	Location - State	Nickname	Founded	Affiliation	Enrollment	Primary Conference
Ball State University	Muncie	Indiana	Cardinals	1918	Public	21401	MAC
Central Michigan University	Mount Pleasant	Michigan	Chippewas	1892	Public	28398	MAC
University of Cincinnati	Cincinnati	Ohio	Bearcats	1819	Public	41250	Big East
DePaul University	Chicago	Illinois	Blue Demons	1898	Private	24000	Big East
Eastern Michigan University	Ypsilanti	Michigan	Eagles	1849	Public	22974	MAC
Grand Valley State University	Allendale	Michigan	Lakers	1960	Public	24541	GLIAC
Miami University	Oxford	Ohio	RedHawks	1809	Public	20126	MAC
University of Michigan	Ann Arbor	Michigan	Wolverines	1817	Public	41674	Big Ten
Michigan State University	East Lansing	Michigan	Spartans	1855	Public	47278	Big Ten
Michigan Technological University	Houghton	Michigan	Huskies	1885	Public	6720	GLIAC
Northern Illinois University	DeKalb	Illinois	Huskies	1895	Public	25313	MAC
Ohio State University	Columbus	Ohio	Buckeyes	1870	Public	55014	Big Ten
Purdue University	West Lafayette	Indiana	Boilermakers	1869	Public	39697	Big Ten
Schoolcraft College	Livonia	Michigan	Oscelots	1961	Public	9000	MCCAA
Shawnee State University	Portsmouth	Ohio	Bears	1986	Public	4600	MSC
Tiffin University	Tiffin	Ohio	Dragons	1888	Public	4942	GLIAC
Wayne State University	Detroit	Michigan	Warriors	1868	Public	31786	GLIAC
