Date	Ship	Nationality	Tonnage	Fate
5 March 1942	Collamer	USA	5,112	Sunk
13 March 1942	Tolten	Chile	1,858	Sunk
14 March 1942	Lemuel Burrows	USA	7,610	Sunk
17 March 1942	San Demitro	Great Britain	8,073	Sunk
30 May 1942	Aloca Shipper	USA	5,491	Sunk
1 June 1942	West Notus	USA	5,492	Sunk
3 June 1942	Anna	Sweden	1,345	Sunk
24 June 1942	Ljubica Matokovic	Yugoslavia	3,289	Sunk
25 June 1942	Manuda	USA	4,772	sunk
25 June 1942	Nordal	Panama	3,845	sunk
27 June 1942	Moldanger	Norway	6,827	Sunk
11 September 1942	Marit II	Norway	7,141	Damaged
12 September 1942	Daghild	Norway	9,272	Damaged
26 September 1942	HMS Veteran	Great Britain	1,120	Sunk
29 March 1943	Nagara	Great Britain	8,791	Sunk
30 March 1943	Empire Bowman	Great Britain	7,031	Sunk
12 April 1943	Lancastrian Prince	Great Britain	1,914	Sunk
