Draw	Artist	Song	Producer	Votes	Place
1	Marco Rodridgues	"Em água e sal"	Elvis Veiguinha	5944	3
2	Carluz Belo	"Cavaleiro da manhã"	Carluz Belo	2049	8
3	Big Hit	"Por ti, Portugal"	Fernando Martins	2934	6
4	Lisboa não sejas francesa	"Porto de encontro"	Miguel Majer, Ricardo Santos	1974	9
5	Vânia Fernandes	"Senhora do mar"	Carlos Coelho	17650	1
6	Vanessa	"Do outro lado da vida"	Nuno Feist	2622	7
7	Ricardo Soler	"Canção pop"	Renato Júnior	4736	4
8	Alex Smith	"Obrigatório ter"	Jan van Dijck	6928	2
9	Tucha	"O poder da mensagem"	Ménito Ramos	626	10
10	Blá Blà Blá	"Magicantasticamente"	Gimba	4616	5
