Name	Other names	Birth	Death	Death Place	Mother
Sayyid Baber Ali Khan Bahadur	N.A.	N.A.	April 28, 1810	N.A.	Faiz-un-nisa Begum
Sayyid Abdul Qasim Khan Bahadur	Mir Mungli	N.A.	September 30, 1830	Murshidabad	Sharaf-un-nisa
Sayyid Husain Ali Khan Bahadur	Mukram ul-Mulk Iftiqar ud-Daulah Firuz Jang	N.A.	August 31, 1810	Murshidabad	Nawab Bai
Mir Mehndi	N.A.	N.A.	February 1826	Murshidabad	Lutf-un-nisa Khanum
Sayyid Tamiz Abidin Ali Khan Bahadur	Najam ul-Mulk Roshan ud-Daulah Nasir Jang	N.A.	September 9, 1840	Rajabazar Deori, Murshidabad	(Unknown)
Sayyid Mir Muhammad Ali Khan Bahadur	N.A.	N.A.	Before June 20, 1827	(Unknown)	Mubaraq-un-nisa Khanum
Sayyid Zainal-Abidin Ali Khan Bahadur	N.A.	N.A.	February 1826	Murshidabad	Sharaf-un-nisa
Sayyid Abdul Husain Ali Khan Bahadur	N.A.	N.A.	N.A.	N.A.	Lutf-un-nisa Khanum
Sayyid Zulfikar Ali Khan Bahadur	Nawab Jan Zulfikar ud-Daulah	N.A.	November 12, 1840	Murshidabad	Nawab Bai
Sayyid Nasir-ud-din Haidar Khan Bahadur	N.A.	N.A.	May 23, 1821	Murshidabad	(Unknown)
Sayyid Ali Reza Khan Bahadur	Maulvi Sahib	N.A.	June 1813	Murshidabad	(Unknown)
Sayyid Ahmed Ali Khan Bahadur	Mir Mughal Sahib	N.A.	June 1816	Murshidabad	(Unknown)
Zinat-un-nisa Begum Sahiba	N.A.	N.A.	N.A.	N.A.	Sharaf-un-nisa Khanum
Hayat-un-nisa Begum Sahiba	Rabia Begum	N.A.	N.A.	N.A.	(Unknown)
Mubaraq-un-nisa Begum Sahiba	N.A.	N.A.	Before May 5, 1827	Murshidabad	Faiz-un-nisa Walida Begum
Badr-un-nisa Begum Sahiba	N.A.	N.A.	September 13, 1856	Dacca	Faiz-un-nisa Walida Begum
Lutf-un-nisa Begum Sahiba	Sahibzadi Begum	N.A.	August 18, 1846	Murshidabad	Faiz-un-nisa Walida Begum
Said-un-nisa Begum Sahiba	N.A.	N.A.	N.A.	N.A.	(Unknown)
Dudur-un-nisa Begum Sahiba	N.A.	N.A.	N.A.	N.A.	(Unknown)
Afzal-un-nisa Begum Sahiba	N.A.	N.A.	N.A.	N.A.	Lutf-un-nisa Khanum
Fakhr-un-nisa Begum Sahiba	N.A.	N.A.	N.A.	N.A.	(Unknown)
Rahim-un-nisa Begum Sahiba	N.A.	N.A.	December 17, 1844	Murshidabad	Lutf-un-nisa Khanum
Jigri-Begum Sahiba	N.A.	N.A.	January 13, 1859	Murshidabad	Mubaraq-un-nisa Khanum
Saleh-un-nisa Begum Sahiba	Moti Begum	N.A.	N.A.	N.A.	Faiz-un-nisa Walida Begum
Nur-un-nisa Begum Sahiba	N.A.	N.A.	June 25, 1846	Murshidabad	(Unknown)
Umdat-un-nisa Begum Sahiba	N.A.	N.A.	November 10, 1842	(Unknown)	Brij Mahal Bakhsh
Wahid-un-nisa Begum Sahiba	N.A.	N.A.	N.A.	N.A.	N.A.
